股票代码,股票简称,现价(元),涨跌幅(%),流通股东名称(报告期)2024.06.30,流通股东持股数量(报告期)(股)2024.06.30,流通股东类型(报告期)2024.06.30,流通股东持股比例(报告期)(%)2024.06.30,流通股东持股市值,流通股东排名(报告期)2024.06.30,流通股东持股状态(报告期)2024.06.30
600151.SH,航天机电,5.30,1.34,香港中央结算有限公司,9689852.0,机构,0.68,43798131.04,9,减持
002662.SZ,京威股份,2.62,2.75,香港中央结算有限公司,14439519.0,机构,0.96,43896137.76,5,增持
002959.SZ,小熊电器,36.74,2.65,香港中央结算有限公司,914936.0,机构,0.58,44017570.96,9,新进
605018.SH,长华集团,7.09,2.01,香港中央结算有限公司,4859372.0,机构,1.03,44025910.32,5,增持
600163.SH,中闽能源,4.29,1.18,香港中央结算有限公司,9135510.0,机构,0.48,44033158.2,6,增持
001338.SZ,永顺泰,8.98,3.70,香港中央结算有限公司,4495847.0,机构,0.9,44059300.6,4,减持
000935.SZ,四川双马,11.11,5.31,香港中央结算有限公司,3692136.0,机构,0.48,44342553.36,9,增持
002055.SZ,得润电子,5.26,2.94,香港中央结算有限公司,6641241.0,机构,1.1,44695551.93,4,增持
688348.SH,昱能科技,44.25,-0.45,香港中央结算有限公司,758088.0,机构,0.68,44727192.0,8,减持
688248.SH,南网科技,26.36,0.73,香港中央结算有限公司,1509539.0,机构,0.27,44727640.57,7,增持
300781.SZ,因赛集团,40.48,-0.69,香港中央结算有限公司,862109.0,机构,0.78,44984847.62,5,新进
688107.SH,安路科技,17.79,2.24,香港中央结算有限公司,1773565.0,机构,0.44,45084022.3,10,减持
688313.SH,仕佳光子,8.34,2.08,香港中央结算有限公司,4737766.0,机构,1.03,45103532.32,10,新进
600770.SH,综艺股份,2.42,6.14,香港中央结算有限公司,19703998.0,机构,1.52,45122155.42,4,增持
601611.SH,中国核建,6.98,2.20,香港中央结算有限公司,5584899.0,机构,0.19,45181832.91,10,新进
601519.SH,大智慧,5.86,2.09,香港中央结算有限公司,8134432.0,机构,0.41,45227441.92,8,增持
603508.SH,思维列控,17.28,1.53,香港中央结算有限公司,2412325.0,机构,0.63,45231093.75,8,新进
002453.SZ,华软科技,3.62,10.03,香港中央结算有限公司,10587108.0,机构,1.3,45418693.32,2,增持
600990.SH,四创电子,15.81,1.67,香港中央结算有限公司,2588042.0,机构,0.94,45420137.1,3,新进
600037.SH,歌华有线,5.85,2.09,香港中央结算有限公司,7595606.0,机构,0.55,45421723.88,8,减持
688668.SH,鼎通科技,32.25,-0.49,香港中央结算有限公司,1157675.0,机构,0.83,45485050.75,9,新进
002534.SZ,西子洁能,9.27,2.54,香港中央结算有限公司,4547351.0,机构,0.62,45518983.51,5,减持
002285.SZ,世联行,1.99,-2.45,香港中央结算有限公司,28631728.0,机构,1.44,45524447.52,5,减持
603662.SH,柯力传感,25.85,6.86,香港中央结算有限公司,1958111.0,机构,0.69,45702310.74,6,新进
300378.SZ,鼎捷软件,16.62,3.04,香港中央结算有限公司,2809106.0,机构,1.04,45704154.62,5,增持
301498.SZ,乖宝宠物,50.85,-1.83,香港中央结算有限公司,850356.0,机构,0.21,45749152.8,9,新进
300031.SZ,宝通科技,14.55,1.96,香港中央结算有限公司,3194509.0,机构,0.77,45905094.33,4,减持
300696.SZ,爱乐达,11.84,1.81,香港中央结算有限公司,2586650.0,机构,0.88,45913037.5,6,增持
603299.SH,苏盐井神,10.07,2.65,香港中央结算有限公司,4833831.0,机构,0.62,45921394.5,5,增持
600955.SH,维远股份,12.63,2.35,香港中央结算有限公司,3192755.0,机构,0.58,46007599.55,10,减持
000029.SZ,深深房A,11.76,0.51,香港中央结算有限公司,4331445.0,机构,0.43,46043260.35,6,增持
002642.SZ,荣联科技,5.83,3.74,香港中央结算有限公司,8932947.0,机构,1.35,46094006.52,4,增持
605108.SH,同庆楼,16.21,3.71,香港中央结算有限公司,2164112.0,机构,0.83,46225432.32,8,新进
300678.SZ,中科信息,21.39,2.94,香港中央结算有限公司,1745805.0,机构,0.59,46298748.6,5,增持
000791.SZ,甘肃能源,5.53,3.36,香港中央结算有限公司,7541823.0,机构,0.47,46533047.91,5,增持
000536.SZ,华映科技,3.20,-2.14,香港中央结算有限公司,23142280.0,机构,0.84,46747405.6,7,减持
002438.SZ,江苏神通,9.64,1.05,香港中央结算有限公司,4326566.0,机构,0.85,46770178.46,10,新进
600675.SH,中华企业,2.61,2.35,香港中央结算有限公司,19010529.0,机构,0.31,46956006.63,9,减持
002645.SZ,华宏科技,6.20,4.20,香港中央结算有限公司,7463647.0,机构,1.28,47468794.92,6,增持
000560.SZ,我爱我家,2.74,1.48,香港中央结算有限公司,21389136.0,机构,0.91,47483881.92,10,新进
002258.SZ,利尔化学,6.95,3.12,香港中央结算有限公司,5922638.0,机构,0.74,47499556.76,6,减持
600742.SH,一汽富维,7.55,1.75,香港中央结算有限公司,6383412.0,机构,0.86,47556419.4,6,减持
002640.SZ,跨境通,1.82,0.55,香港中央结算有限公司,36375681.0,机构,2.33,47652142.11,2,新进
600586.SH,金晶科技,4.98,2.89,香港中央结算有限公司,8236521.0,机构,0.58,47771821.8,6,减持
603229.SH,奥翔药业,6.75,2.27,香港中央结算有限公司,4756799.0,机构,0.8,47805829.95,8,减持
603868.SH,飞科电器,34.92,3.56,香港中央结算有限公司,1246828.0,机构,0.29,47878195.2,7,增持
600389.SH,江山股份,12.73,0.63,香港中央结算有限公司,3408969.0,机构,0.79,48100552.59,6,减持
300409.SZ,道氏技术,9.30,2.54,香港中央结算有限公司,5623301.0,机构,0.97,48135456.56,6,增持
603025.SH,大豪科技,10.91,0.93,香港中央结算有限公司,3483489.0,机构,0.31,48141817.98,5,减持
