股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
002078.SZ,太阳纸业,11.90,2.15,17.54,485009334.00,6765880209.30,572,--
601899.SH,紫金矿业,15.04,2.45,17.54,3605438431.00,63347553232.67,"2,080",--
835179.BJ,凯德石英,14.08,0.93,17.52,10427739.00,171014919.60,38,--
300498.SZ,温氏股份,15.20,-3.68,17.50,951537700.00,18859477214.00,861,--
002738.SZ,中矿资源,28.30,-0.35,17.50,125891687.00,3373897211.60,351,--
603181.SH,皇马科技,8.13,-0.97,17.48,102918985.00,925241675.15,95,--
300142.SZ,沃森生物,9.90,-0.90,17.44,273185716.00,3108853448.08,273,--
300260.SZ,新莱应材,18.13,12.40,17.44,50158457.00,1050318089.58,160,--
601567.SH,三星医疗,33.79,3.71,17.41,244239772.00,8548392020.00,663,--
688117.SH,圣诺生物,27.73,-9.23,17.38,19469915.00,477791714.10,107,--
603369.SH,今世缘,36.06,1.32,17.31,217208959.00,10035053905.80,533,--
601918.SH,新集能源,7.15,1.28,17.31,448289300.00,4370820675.00,355,--
837242.BJ,建邦科技,14.05,1.30,17.30,6061440.00,75949843.20,12,--
603885.SH,吉祥航空,10.14,0.90,17.27,382387270.00,4202436108.29,314,--
688257.SH,新锐股份,12.93,0.31,17.18,22802013.00,349554859.29,90,--
000400.SZ,许继电气,31.17,3.73,17.13,172676161.00,5941786700.01,679,--
300203.SZ,聚光科技,10.60,-2.21,17.12,76772496.00,774634484.64,125,--
000338.SZ,潍柴动力,12.03,2.65,17.12,850716476.00,13815635570.24,"1,042",--
605166.SH,聚合顺,8.69,0.00,17.11,53999178.00,566451377.22,162,--
001332.SZ,锡装股份,26.41,-1.27,17.09,4614272.00,109911959.04,16,--
300761.SZ,立华股份,17.39,-1.03,17.07,103271164.00,2338059152.96,198,--
301160.SZ,翔楼新材,36.71,0.96,17.04,7210424.00,268588294.00,102,--
002928.SZ,华夏航空,5.18,-2.81,17.01,217445171.00,1378602390.48,174,--
688271.SH,联影医疗,93.20,-4.43,16.99,100099579.00,10976867845.70,362,--
605090.SH,九丰能源,24.42,0.29,16.97,45608032.00,1322632928.00,239,--
605117.SH,德业股份,93.64,4.01,16.91,101817066.00,7556036128.77,518,--
300396.SZ,迪瑞医疗,12.92,-1.22,16.90,46059702.00,935472547.62,207,--
688475.SH,萤石网络,25.25,2.43,16.88,68338937.00,2331041141.07,253,--
300896.SZ,爱美客,134.05,-0.78,16.85,35119281.00,6044028260.10,540,--
002487.SZ,大金重工,19.18,1.91,16.83,106094998.00,2427453554.24,324,--
603345.SH,安井食品,70.05,1.63,16.70,48994841.00,3640806634.71,424,--
600862.SH,中航高科,17.65,-2.38,16.70,232603890.00,4368301054.20,354,--
688095.SH,福昕软件,48.94,-1.59,16.64,15340275.00,702737997.75,149,--
688111.SH,金山办公,183.82,1.51,16.55,76471005.00,17397153637.50,899,--
688107.SH,安路科技,17.40,-1.31,16.54,31883898.00,810488687.16,116,--
301367.SZ,怡和嘉业,65.28,-2.57,16.52,9336275.00,580716305.00,200,--
688084.SH,晶品特装,34.80,7.08,16.51,5653756.00,247069137.20,71,--
300858.SZ,科拓生物,13.59,0.37,16.48,31931574.00,470032769.28,40,--
688200.SH,华峰测控,77.37,-0.67,16.48,22315640.00,2047459970.00,227,--
003006.SZ,百亚股份,23.80,2.10,16.43,70405087.00,1668600561.90,312,--
688772.SH,珠海冠宇,13.30,-4.80,16.42,126497499.00,1884812735.10,394,--
603009.SH,北特科技,17.77,3.13,16.41,55525194.00,995566728.42,131,--
600938.SH,中国海油,26.31,0.50,16.36,464749973.00,15336749109.00,"1,125",--
300408.SZ,三环集团,29.77,0.47,16.34,305584563.00,8920013393.97,845,--
301004.SZ,嘉益股份,92.00,2.77,16.31,15495826.00,1410120166.00,210,--
002533.SZ,金杯电工,8.62,7.48,16.29,103813637.00,1032945698.10,254,--
301291.SZ,明阳电气,31.75,2.42,16.26,20826121.00,625824936.05,187,--
301308.SZ,江波龙,63.80,-1.09,16.24,18811162.00,1782169487.88,320,--
000860.SZ,顺鑫农业,14.12,-1.26,16.21,120205980.00,2012248121.94,135,--
603558.SH,健盛集团,9.50,2.04,16.20,59777891.00,594790015.45,238,--
002068.SZ,黑猫股份,5.25,-0.94,16.18,118869753.00,843975246.30,140,--
600486.SH,扬农化工,47.40,1.07,16.17,65143200.00,3677333640.00,334,--
002027.SZ,分众传媒,5.36,1.52,16.16,2334562345.00,14147447810.70,921,--
603712.SH,七一二,14.05,-2.43,16.13,124545314.00,2265479261.66,262,--
300575.SZ,中旗股份,5.25,-4.02,16.08,55121539.00,366007018.96,24,--
600961.SH,株冶集团,6.79,0.00,16.06,120779435.00,1140157866.40,179,--
002937.SZ,兴瑞科技,16.21,-0.25,16.05,47628221.00,1110213831.51,158,--
603659.SH,璞泰来,10.61,-2.30,16.04,342663576.00,4841836328.88,334,--
002150.SZ,通润装备,13.62,4.53,16.00,56824901.00,694968539.23,66,--
688389.SH,普门科技,12.64,-2.77,15.99,68515266.00,1114058225.16,210,--
002831.SZ,裕同科技,21.59,0.51,15.98,83268329.00,2130836539.11,314,--
300294.SZ,博雅生物,30.86,1.18,15.98,68063559.00,2246097447.00,195,--
603713.SH,密尔克卫,41.73,-0.74,15.98,26215572.00,1403057413.44,92,--
301227.SZ,森鹰窗业,14.34,-1.31,15.88,5587220.00,105095608.20,76,--
600563.SH,法拉电子,84.37,0.32,15.88,35727393.00,2721712798.74,303,--
300124.SZ,汇川技术,43.86,1.34,15.83,358938833.00,18413562132.90,755,--
601128.SH,常熟银行,6.12,-0.33,15.81,459731685.00,3480168855.45,399,--
688372.SH,伟测科技,35.70,-3.72,15.79,12177322.00,478934113.59,147,--
688087.SH,英科再生,24.20,-1.27,15.78,16156005.00,418117409.40,76,--
002472.SZ,双环传动,21.02,2.24,15.77,118414125.00,2607479032.50,310,--
300750.SZ,宁德时代,186.40,1.58,15.77,614278276.00,110588518028.28,"2,385",--
300470.SZ,中密控股,31.47,-0.57,15.76,30874854.00,1043878813.74,165,--
000100.SZ,TCL科技,3.61,-0.55,15.74,2848129732.00,12303920442.24,828,--
300724.SZ,捷佳伟创,44.36,-1.53,15.74,43135991.00,2329774873.91,420,--
688244.SH,永信至诚,20.75,-2.90,15.72,7579179.00,219720399.21,31,--
600487.SH,亨通光电,14.90,1.57,15.72,387790675.00,6115458944.75,593,--
688552.SH,航天南湖,12.48,-1.19,15.70,13187447.00,213636641.40,55,--
002311.SZ,海大集团,34.56,-2.65,15.68,260713987.00,12266593088.35,702,--
300003.SZ,乐普医疗,9.18,-0.76,15.65,252971345.00,3754094759.80,366,--
600690.SH,海尔智家,26.11,3.28,15.64,986688850.00,28002229563.00,"1,176",--
603338.SH,浙江鼎力,50.60,4.50,15.63,79135684.00,4781378027.28,532,--
603518.SH,锦泓集团,6.12,-0.81,15.60,53594792.00,471634169.60,115,--
301012.SZ,扬电科技,18.21,-0.27,15.59,17747547.00,439429263.72,64,--
300059.SZ,东方财富,10.43,0.48,15.59,2082694643.00,21993255430.08,620,--
600276.SH,恒瑞医药,45.12,0.78,15.59,994216069.00,38237550013.74,"1,256",--
603209.SH,兴通股份,13.61,-0.37,15.58,28537772.00,394962764.48,112,--
300416.SZ,苏试试验,9.40,-1.78,15.50,78296212.00,1006889286.32,139,--
688180.SH,君实生物,24.33,-3.22,15.49,118448984.00,3440942985.20,191,--
601799.SH,星宇股份,125.98,6.76,15.47,44198916.00,4952046548.64,389,--
300223.SZ,北京君正,43.60,-0.91,15.40,64616743.00,3582352231.92,292,--
688297.SH,中无人机,28.01,-1.27,15.39,40840452.00,1348960129.56,102,--
688507.SH,索辰科技,40.36,-0.37,15.35,6987338.00,339584675.40,145,--
300496.SZ,中科创达,32.57,-1.69,15.33,56169110.00,2560749724.90,416,--
600161.SH,天坛生物,20.90,-0.62,15.27,302015619.00,7369181103.60,443,--
002432.SZ,九安医疗,40.01,-0.79,15.27,68564794.00,2779616748.76,265,--
300196.SZ,长海股份,9.19,0.77,15.26,37577357.00,380658626.41,60,--
603063.SH,禾望电气,11.40,-1.04,15.24,67561661.00,1034523319.23,99,--
688543.SH,国科军工,35.09,-1.65,15.20,12413293.00,509813943.51,121,--
300161.SZ,华中数控,18.95,-1.04,15.20,29619238.00,666136662.62,121,--
002050.SZ,三花智控,17.50,0.11,15.19,556801085.00,10623764701.80,729,--
002532.SZ,天山铝业,6.30,1.45,15.19,627258532.00,5087066694.52,579,--
600873.SH,梅花生物,8.93,-1.98,15.15,432143592.00,4330078791.84,451,--
300760.SZ,迈瑞医疗,228.07,-1.55,15.11,183930285.00,53507159209.35,"1,269",--
301333.SZ,诺思格,38.91,0.70,15.08,8555754.00,287558891.94,62,--
688236.SH,春立医疗,10.49,-1.22,15.08,11956957.00,169549650.26,92,--
300207.SZ,欣旺达,15.26,-1.80,15.07,260355386.00,3949591205.62,419,--
002011.SZ,盾安环境,10.14,0.20,15.03,137744960.00,1354032956.80,184,--
603308.SH,应流股份,9.66,0.94,15.01,101937611.00,1266065128.62,139,--
688029.SH,南微医学,58.49,-2.66,15.00,28169443.00,1733854606.11,266,--
300795.SZ,米奥会展,12.98,-0.31,14.98,19925598.00,349295732.94,110,--
002947.SZ,恒铭达,28.95,-3.56,14.93,24114414.00,848827372.80,208,--
688347.SH,华虹公司,27.21,0.48,14.86,30298588.00,1086204379.80,217,--
688110.SH,东芯股份,14.28,-3.12,14.84,41042386.00,782678301.02,138,--
688503.SH,聚和材料,25.53,-3.11,14.82,26508380.00,744885478.00,120,--
603855.SH,华荣股份,15.36,-0.26,14.81,48989138.00,1083149841.18,168,--
603678.SH,火炬电子,19.54,-1.31,14.79,67794676.00,1673850550.44,157,--
601059.SH,信达证券,12.32,0.08,14.75,101988149.00,1449251597.29,140,--
600809.SH,山西汾酒,147.79,-1.61,14.73,179750501.00,37905785650.88,980,--
605098.SH,行动教育,31.07,2.54,14.71,17373872.00,740474424.64,191,--
601233.SH,桐昆股份,10.25,-1.63,14.69,333729977.00,5326330432.92,586,--
601001.SH,晋控煤业,14.18,4.88,14.68,245629711.00,4057802825.72,428,--
000683.SZ,远兴能源,5.04,1.41,14.65,480974388.00,3323533021.08,344,--
000521.SZ,长虹美菱,9.28,8.41,14.61,127832320.00,968968985.60,210,--
300193.SZ,佳士科技,7.33,-0.54,14.60,63757315.00,473079277.30,94,--
603208.SH,江山欧派,15.71,0.06,14.60,25864324.00,495043161.36,50,--
300776.SZ,帝尔激光,42.03,0.55,14.58,24371879.00,1120131558.84,206,--
000028.SZ,国药一致,24.15,-0.45,14.54,69525332.00,2240801450.36,180,--
688516.SH,奥特维,34.13,-2.46,14.52,42148827.00,1762242456.87,395,--
688326.SH,经纬恒润,62.35,0.27,14.52,11537039.00,661418445.87,158,--
300087.SZ,荃银高科,5.92,-1.17,14.50,129929291.00,802963018.38,87,--
603611.SH,诺力股份,15.12,0.67,14.46,37256266.00,634846772.64,146,--
600511.SH,国药股份,27.40,-0.47,14.46,80017359.00,2463734483.61,351,--
688036.SH,传音控股,79.50,4.22,14.43,163013085.00,12461647458.30,853,--
600066.SH,宇通客车,22.98,5.37,14.43,319408187.00,8240731224.60,761,--
300627.SZ,华测导航,28.65,0.07,14.42,64927930.00,1938098710.50,299,--
300666.SZ,江丰电子,48.79,-0.53,14.42,31765997.00,1510790817.32,147,--
300568.SZ,星源材质,6.87,-2.83,14.39,174529088.00,1431138521.60,204,--
603871.SH,嘉友国际,18.48,1.99,14.38,140466352.00,2484849766.88,395,--
300866.SZ,安克创新,68.96,1.79,14.37,42243501.00,3008159706.21,481,--
002139.SZ,拓邦股份,9.03,-0.22,14.36,153825793.00,1633629921.66,375,--
002315.SZ,焦点科技,23.17,-0.64,14.34,28937011.00,780141816.56,236,--
000661.SZ,长春高新,78.97,-1.09,14.31,56998970.00,5230795476.90,445,--
601126.SH,四方股份,17.71,4.73,14.31,116330759.00,2235877187.98,355,--
000880.SZ,潍柴重机,8.56,-0.12,14.27,23140517.00,184892730.83,44,--
002271.SZ,东方雨虹,10.16,3.04,14.26,275578967.00,3400644452.78,400,--
300015.SZ,爱尔眼科,9.34,0.11,14.26,1127163096.00,11632323150.72,555,--
002920.SZ,德赛西威,93.80,4.41,14.22,78406304.00,6828405015.36,534,--
603979.SH,金诚信,36.35,0.53,14.19,87680188.00,4430479899.64,485,--
002351.SZ,漫步者,9.24,-1.91,14.18,73884709.00,971583923.35,171,--
300699.SZ,光威复材,26.92,2.05,14.17,116424683.00,2890824878.89,316,--
600489.SH,中金黄金,12.53,-0.40,14.16,686348658.00,10157960138.40,713,--
300969.SZ,恒帅股份,50.13,1.68,14.15,3016826.00,208553181.38,100,--
603599.SH,广信股份,9.73,-0.31,14.10,128332985.00,1556679108.05,172,--
688568.SH,中科星图,27.98,3.71,14.10,51401541.00,2451853505.70,217,--
000543.SZ,皖能电力,7.57,-0.26,14.07,318943024.00,2822645762.40,413,--
000603.SZ,盛达资源,10.08,0.00,14.06,88908838.00,1051791553.54,134,--
688302.SH,海创药业,26.62,4.93,14.01,10186440.00,239992526.40,42,--
603699.SH,纽威股份,18.59,-0.48,13.99,104795944.00,1794106578.40,286,--
002843.SZ,泰嘉股份,11.87,0.08,13.98,34948922.00,535067995.82,60,--
600479.SH,千金药业,9.35,-0.11,13.96,58422457.00,594156387.69,145,--
688484.SH,南芯科技,26.03,-0.99,13.95,35426281.00,1314315025.10,281,--
603018.SH,华设集团,6.14,-0.16,13.93,93137489.00,846619775.01,122,--
688369.SH,致远互联,12.30,-0.97,13.90,16001421.00,251702352.33,108,--
688059.SH,华锐精密,39.29,-0.53,13.89,8587970.00,389722078.60,151,--
600887.SH,伊利股份,21.37,-0.93,13.88,874866358.00,22606546690.72,"1,086",--
688075.SH,安旭生物,31.00,-3.16,13.87,4405370.00,148416915.30,29,--
000426.SZ,兴业银锡,9.85,-1.40,13.86,204784834.00,2780978059.30,259,--
603501.SH,韦尔股份,84.97,0.71,13.85,168221182.00,16716138954.71,803,--
688352.SH,颀中科技,8.33,-0.48,13.85,39567719.00,451467673.79,145,--
002459.SZ,晶澳科技,9.93,-2.26,13.83,457396399.00,5122839668.80,341,--
002851.SZ,麦格米特,22.50,-1.32,13.80,57233581.00,1478915733.04,187,--
600435.SH,北方导航,8.90,4.22,13.76,206742936.00,1782124116.94,229,--
600755.SH,厦门国贸,5.74,0.88,13.75,279709149.00,2005514598.33,245,--
688047.SH,龙芯中科,87.08,-3.03,13.75,38448923.00,3380813799.39,154,--
603799.SH,华友钴业,21.85,0.97,13.74,231743027.00,5128473187.51,375,--
000999.SZ,华润三九,37.37,2.64,13.72,174933512.00,7448668983.54,568,--
000552.SZ,甘肃能化,2.28,1.79,13.71,510779495.00,1772404847.65,226,--
603456.SH,九洲药业,12.26,0.00,13.70,123072253.00,1688551311.16,182,--
600048.SH,保利发展,7.63,2.01,13.70,1639729612.00,14364031401.12,951,--
688147.SH,微导纳米,18.74,-1.52,13.68,11700216.00,291335378.40,126,--
603806.SH,福斯特,13.78,-1.99,13.66,356411426.00,5239247976.90,533,--
600782.SH,新钢股份,2.66,-0.75,13.66,429662235.00,1426478620.20,176,--
001914.SZ,招商积余,8.45,2.55,13.62,144410786.00,1446996075.72,172,--
688800.SH,瑞可达,20.00,0.00,13.59,14486705.00,406786676.40,131,--
601021.SH,春秋航空,48.26,-0.70,13.58,132925978.00,7487720340.74,434,--
300693.SZ,盛弘股份,20.60,-0.91,13.57,34397511.00,720283880.34,188,--
603236.SH,移远通信,41.86,-0.74,13.56,35888453.00,1677067408.69,209,--
300073.SZ,当升科技,29.98,-2.50,13.55,68493883.00,2350025125.73,227,--
001286.SZ,陕西能源,8.85,1.38,13.55,142256808.00,1640220996.24,286,--
600026.SH,中远海能,12.82,1.67,13.55,470714226.00,7347849067.86,494,--
688577.SH,浙海德曼,27.30,-0.69,13.52,10260116.00,409583830.72,45,--
300775.SZ,三角防务,20.02,-0.55,13.49,71745059.00,2195398805.40,258,--
002049.SZ,紫光国微,45.19,0.33,13.48,114546696.00,6025156209.60,333,--
002949.SZ,华阳国际,8.65,-1.48,13.41,20048517.00,188656544.97,25,--
832982.BJ,锦波生物,152.23,0.22,13.41,4122869.00,615915399.91,67,--
605377.SH,华旺科技,10.98,-0.81,13.40,62142274.00,823385130.50,161,--
688538.SH,和辉光电,2.03,-1.93,13.38,769699798.00,1524005600.04,140,--
300938.SZ,信测标准,16.18,-0.92,13.38,15079303.00,299776543.64,69,--
002916.SZ,深南电路,96.64,1.10,13.34,68145837.00,7207785179.49,546,--
688188.SH,柏楚电子,171.10,1.13,13.31,27343332.00,5046212105.15,471,--
002322.SZ,理工能科,14.58,1.32,13.29,48520481.00,777298105.62,244,--
688049.SH,炬芯科技,20.30,1.40,13.26,14432132.00,319238759.84,77,--
688018.SH,乐鑫科技,90.40,-1.53,13.26,14876029.00,1467966541.72,312,--
002296.SZ,辉煌科技,7.23,-0.41,13.25,46028207.00,474550814.17,130,--
600933.SH,爱柯迪,12.58,0.24,13.20,120240908.00,1776483168.25,242,--
605196.SH,华通线缆,7.30,-1.08,13.19,67128189.00,706188548.28,146,--
600901.SH,江苏金租,4.35,1.40,13.19,574586708.00,2901662875.40,357,--
000921.SZ,海信家电,25.72,5.19,13.16,119966285.00,3867713028.40,500,--
603899.SH,晨光股份,25.28,-0.86,13.16,121542626.00,3801853341.28,304,--
002847.SZ,盐津铺子,41.15,2.93,13.16,32191241.00,1376819377.57,233,--
688143.SH,长盈通,17.60,4.45,13.15,12238205.00,262142351.10,108,--
002436.SZ,兴森科技,8.18,-1.09,13.13,196984748.00,2032882599.36,252,--
300973.SZ,立高食品,24.36,1.63,13.12,15293788.00,429602504.92,202,--
601717.SH,郑煤机,10.89,2.06,13.12,200858000.00,2972698400.00,565,--
688717.SH,艾罗能源,61.87,-0.63,13.11,2433340.00,115684092.88,65,--
871694.BJ,中裕科技,10.07,-0.49,13.11,3293560.00,35899804.00,10,--
605589.SH,圣泉集团,17.41,0.17,13.10,81034688.00,1644193819.52,219,--
605319.SH,无锡振华,15.50,1.11,13.10,10946334.00,193750111.80,111,--
002299.SZ,圣农发展,10.68,-0.84,13.10,160832772.00,2193759010.08,249,--
000807.SZ,云铝股份,11.82,3.32,13.09,453876953.00,6131877648.54,456,--
688116.SH,天奈科技,19.60,-1.46,13.08,45072984.00,1040284470.72,168,--
688191.SH,智洋创新,14.72,-2.90,13.08,20077011.00,339903796.23,35,--
688522.SH,纳睿雷达,38.22,1.38,13.07,11074919.00,519192202.72,116,--
688425.SH,铁建重工,3.35,-0.30,13.04,192718196.00,709202961.28,194,--
688017.SH,绿的谐波,61.43,1.10,13.02,21967581.00,1803538400.10,202,--
002812.SZ,恩捷股份,24.65,-1.40,13.01,107352192.00,3397696876.80,308,--
600660.SH,福耀玻璃,51.75,4.34,13.01,260525456.00,12479169342.40,769,--
300035.SZ,中科电气,7.86,-0.76,13.00,80767719.00,687333288.69,98,--
688501.SH,青达环保,10.78,-0.83,13.00,10623925.00,145335294.00,65,--
300144.SZ,宋城演艺,7.06,-0.98,13.00,305648356.00,2454356298.68,299,--
600970.SH,中材国际,8.80,1.62,12.99,228361050.00,2754034263.00,435,--
601838.SH,成都银行,13.22,1.23,12.98,494020955.00,7504178306.45,478,--
603348.SH,文灿股份,20.35,0.64,12.97,34248269.00,948334568.61,192,--
300118.SZ,东方日升,9.10,-2.26,12.94,119297611.00,1443501093.10,163,--
002906.SZ,华阳集团,24.11,0.88,12.90,67652898.00,1810391550.48,262,--
430047.BJ,诺思兰德,10.13,-2.03,12.89,21312407.00,295675472.91,46,--
300251.SZ,光线传媒,6.53,-0.91,12.89,359150868.00,3020458799.88,481,--
688139.SH,海尔生物,25.32,0.32,12.88,40947512.00,1522966544.33,211,--
300244.SZ,迪安诊断,9.52,-2.16,12.83,64585631.00,775027572.00,149,--
300406.SZ,九强生物,11.44,-2.14,12.81,54118817.00,832347405.46,169,--
001380.SZ,华纬科技,14.51,1.47,12.78,7602304.00,147788789.76,87,--
002801.SZ,微光股份,18.25,-4.95,12.78,14797698.00,280564354.08,40,--
688300.SH,联瑞新材,40.02,0.88,12.76,23707266.00,1140319494.60,198,--
300384.SZ,三联虹普,13.00,-0.92,12.76,28032685.00,367788827.20,104,--
300151.SZ,昌红科技,13.71,-2.90,12.75,47016952.00,743808180.64,85,--
001309.SZ,德明利,63.49,-0.64,12.72,11092735.00,958412304.00,187,--
603901.SH,永创智能,5.54,-2.64,12.71,61392537.00,435273087.33,80,--
688290.SH,景业智能,26.65,-0.49,12.68,7709964.00,247489844.40,81,--
300685.SZ,艾德生物,18.30,-3.38,12.67,49874776.00,879791048.64,157,--
301529.SZ,福赛科技,30.84,-0.80,12.64,2562135.00,84063649.35,156,--
688031.SH,星环科技,25.16,-0.79,12.64,11684857.00,428951100.47,132,--
688286.SH,敏芯股份,32.19,-2.43,12.59,7044583.00,335322150.80,71,--
600150.SH,中国船舶,34.90,--,12.57,562190303.00,22886767235.13,"1,150",--
600971.SH,恒源煤电,8.56,1.42,12.56,150734327.00,1799767864.38,232,--
688295.SH,中复神鹰,16.74,1.70,12.55,18155779.00,368562313.70,93,--
600323.SH,瀚蓝环境,18.91,-0.05,12.55,102290725.00,2137876152.50,340,--
603727.SH,博迈科,9.37,-1.78,12.54,35313743.00,464728857.88,186,--
600985.SH,淮北矿业,13.62,4.61,12.53,337407538.00,5648202186.12,601,--
002938.SZ,鹏鼎控股,31.60,-6.37,12.50,289537400.00,11512007024.00,798,--
688208.SH,道通科技,23.71,2.77,12.49,56443353.00,1362542541.42,303,--
300034.SZ,钢研高纳,13.00,-0.08,12.49,95718218.00,1520962484.02,241,--
600587.SH,新华医疗,15.17,-0.59,12.48,72223127.00,1136792018.98,172,--
000682.SZ,东方电子,10.65,3.20,12.48,167260913.00,1846560479.52,315,--
002182.SZ,宝武镁业,8.66,-0.23,12.47,97075864.00,1095015745.92,140,--
688063.SH,派能科技,33.81,-5.43,12.45,30547781.00,1213052383.51,158,--
002557.SZ,洽洽食品,24.82,-0.52,12.45,63124150.00,1779469788.50,409,--
603119.SH,浙江荣泰,12.87,-2.87,12.44,11293536.00,200121457.92,161,--
603886.SH,元祖股份,11.20,-3.11,12.44,29861197.00,449709626.82,99,--
688696.SH,极米科技,52.47,0.44,12.44,8707126.00,672538412.24,155,--
300733.SZ,西菱动力,9.08,-0.77,12.41,27978739.00,278668250.40,22,--
002460.SZ,赣锋锂业,25.40,-0.70,12.41,149959217.00,4296331567.05,356,--
603198.SH,迎驾贡酒,49.00,3.59,12.38,99026014.00,5693995805.00,456,--
002594.SZ,比亚迪,258.43,1.35,12.38,143904559.00,36012115889.75,"1,361",--
601333.SH,广深铁路,3.13,0.00,12.37,699146324.00,2265234089.76,149,--
688085.SH,三友医疗,17.53,-2.61,12.33,30628246.00,517617357.40,87,--
600750.SH,江中药业,19.04,3.48,12.31,77028674.00,1780132656.14,238,--
002609.SZ,捷顺科技,6.47,-0.15,12.30,56506862.00,428322013.96,71,--
000333.SZ,美的集团,65.25,2.74,12.29,841690666.00,54289047957.00,"1,972",--
600885.SH,宏发股份,26.65,2.66,12.25,127771809.00,3536723673.12,359,--
600398.SH,海澜之家,5.24,1.16,12.25,588483049.00,5437583372.76,623,--
300638.SZ,广和通,10.18,-0.68,12.25,65135570.00,1113818247.00,322,--
688401.SH,路维光电,19.50,3.12,12.22,13855137.00,363004589.40,92,--
605376.SH,博迁新材,20.13,-2.47,12.21,31952859.00,721176027.63,88,--
300136.SZ,信维通信,17.68,1.49,12.20,100577161.00,1969300812.38,293,--
300783.SZ,三只松鼠,15.95,0.57,12.19,34095762.00,745674314.94,358,--
002130.SZ,沃尔核材,10.79,-0.74,12.17,151965256.00,2145749414.72,263,--
688439.SH,振华风光,42.18,-0.19,12.14,13644981.00,901106536.59,175,--
600546.SH,山煤国际,11.15,6.09,12.13,240485885.00,3515903638.70,384,--
603368.SH,柳药集团,14.69,-0.81,12.12,43669718.00,763599122.49,322,--
688373.SH,盟科药业,3.77,-3.33,12.12,42048915.00,182912780.25,40,--
603309.SH,维力医疗,9.72,-4.61,12.11,35355431.00,389263295.31,153,--
301073.SZ,君亭酒店,14.94,0.00,12.11,10398232.00,189247822.40,107,--
002044.SZ,美年健康,3.27,-1.51,12.10,468667039.00,1771561407.42,183,--
002837.SZ,英维克,21.06,4.52,12.10,77704884.00,1662107468.76,289,--
300146.SZ,汤臣倍健,10.84,0.84,12.06,136323932.00,1847189278.60,251,--
688108.SH,赛诺医疗,8.85,-2.64,12.06,49868515.00,445824524.10,80,--
601689.SH,拓普集团,35.60,1.54,12.05,132827829.00,7119488525.70,639,--
300413.SZ,芒果超媒,18.26,-0.65,12.05,123089069.00,2572561563.00,406,--
000888.SZ,峨眉山A,11.47,3.52,12.03,63379424.00,690201927.36,341,--
601865.SH,福莱特,15.44,-3.86,12.03,228371593.00,4590269019.30,488,--
603393.SH,新天然气,30.29,1.64,12.01,45017697.00,1563914793.78,231,--
000726.SZ,鲁泰A,5.19,0.00,12.00,70636091.00,467610922.42,93,--
688518.SH,联赢激光,11.59,-0.52,12.00,40680021.00,679356350.70,160,--
600258.SH,首旅酒店,11.11,-1.07,11.98,133779779.00,1652180270.65,251,--
600820.SH,隧道股份,5.30,-0.38,11.97,376406649.00,2457935417.97,418,--
601666.SH,平煤股份,8.25,5.23,11.96,294635023.00,3299912257.60,458,--
688103.SH,国力股份,27.97,-1.20,11.96,7592015.00,263898441.40,45,--
000915.SZ,华特达因,24.04,0.71,11.94,27963694.00,843385011.04,235,--
603995.SH,甬金股份,15.59,-0.51,11.93,43609376.00,764036267.52,156,--
000811.SZ,冰轮环境,7.98,0.38,11.90,88730786.00,856252084.90,145,--
603187.SH,海容冷链,9.19,-1.50,11.86,45584366.00,531513707.56,175,--
000738.SZ,航发控制,18.18,-0.49,11.85,155910700.00,3129127749.00,350,--
688283.SH,坤恒顺维,16.97,-2.47,11.84,6980866.00,240002173.08,64,--
833429.BJ,康比特,9.53,-2.85,11.84,9489072.00,94985610.72,18,--
688166.SH,博瑞医药,23.93,4.04,11.83,49978224.00,1749237840.00,196,--
603197.SH,保隆科技,31.71,1.31,11.82,24873393.00,783511879.50,171,--
000630.SZ,铜陵有色,2.95,0.00,11.79,1241345615.00,4481257670.15,428,--
601168.SH,西部矿业,14.47,1.19,11.79,280954938.00,5043141137.10,596,--
300033.SZ,同花顺,99.59,1.09,11.79,32244255.00,3343729243.50,416,--
600030.SH,中信证券,18.94,0.11,11.73,1333302933.00,24306112468.59,590,--
688768.SH,容知日新,22.76,0.40,11.72,5817212.00,136180932.92,64,--
000600.SZ,建投能源,4.31,1.89,11.72,127786623.00,805055731.20,211,--
002465.SZ,海格通信,8.22,-0.73,11.71,284717290.00,2949671124.40,410,--
600600.SH,青岛啤酒,54.46,0.93,11.70,82516256.00,6004707949.12,469,--
002252.SZ,上海莱士,6.51,-0.76,11.68,776137552.00,6069395656.64,376,--
688610.SH,埃科光电,26.81,-0.04,11.67,1681495.00,56548676.85,109,--
600612.SH,老凤祥,52.90,5.30,11.66,36963316.00,2150895358.04,317,--
600547.SH,山东黄金,25.64,0.27,11.64,420747316.00,11520061512.08,887,--
300390.SZ,天华新能,16.05,-0.50,11.63,79590412.00,1367363278.16,255,--
300580.SZ,贝斯特,12.81,-1.16,11.62,54555196.00,801961381.20,154,--
603337.SH,杰克股份,26.71,0.72,11.62,55020920.00,1448150614.40,273,--
002595.SZ,豪迈科技,43.20,2.98,11.62,92326299.00,3524094871.00,348,--
002035.SZ,华帝股份,6.19,2.48,11.61,90632319.00,564639347.37,325,--
