股票代码,股票简称,现价(元),涨跌幅(%),"基金持股比例(%)2024.06.30",基金持股数量(股)2024.06.30,基金持股市值(元)2024.06.30,基金持股家数(家)2024.06.30,基金持股选股明细
688169.SH,石头科技,245.17,3.43,30.51,40165233.00,15762000513.63,951,--
301589.SZ,诺瓦星云,152.60,-2.59,30.44,4221236.00,820470388.30,205,--
002832.SZ,比音勒芬,16.86,1.08,30.44,118535519.00,2865003494.23,267,--
688303.SH,大全能源,19.28,-0.26,30.44,158245412.00,3226623950.68,273,--
300049.SZ,福瑞股份,35.74,-2.11,29.84,69675758.00,3507477657.72,312,--
000526.SZ,学大教育,50.49,4.32,29.53,34769708.00,2141814012.80,300,--
301358.SZ,湖南裕能,26.40,-1.05,29.51,113145289.00,3559550791.94,370,--
688426.SH,康为世纪,16.32,-4.00,29.50,10878254.00,202335524.40,54,--
300354.SZ,东华测试,28.16,-0.42,29.40,23872091.00,741705898.44,105,--
003000.SZ,劲仔食品,10.50,-1.22,29.38,89348276.00,1076646725.80,256,--
688596.SH,正帆科技,24.70,2.07,29.31,84105039.00,2775466287.00,293,--
300567.SZ,精测电子,45.60,-6.08,29.05,59207344.00,3345807065.95,242,--
300218.SZ,安利股份,13.33,0.08,29.05,62829762.00,947472810.96,136,--
688630.SH,芯碁微装,51.10,2.78,28.99,38095289.00,2383622232.73,196,--
300308.SZ,中际旭创,113.64,-1.98,28.86,322016039.00,44399571457.32,"1,687",--
688052.SH,纳芯微,84.47,0.33,28.68,26773775.00,2751808697.28,289,--
688502.SH,茂莱光学,77.99,5.59,28.58,4638053.00,431385309.53,106,--
688776.SH,国光电气,36.48,-2.04,28.43,9800554.00,542950691.60,125,--
688153.SH,唯捷创芯,26.96,-1.50,28.37,32273589.00,1194122793.00,211,--
688266.SH,泽璟制药,61.85,2.74,28.26,74801385.00,4055731094.70,322,--
300298.SZ,三诺生物,23.90,-0.87,28.14,128134345.00,3246924302.30,223,--
002025.SZ,航天电器,43.30,-1.73,28.02,126826033.00,5882191410.54,453,--
600729.SH,重庆百货,17.74,-1.12,27.96,53916220.00,1205566701.56,147,--
603998.SH,方盛制药,9.88,-0.50,27.92,121297392.00,1245724215.84,142,--
300454.SZ,深信服,43.30,-3.00,27.77,76722752.00,3876800658.56,356,--
688050.SH,爱博医疗,78.08,-3.57,27.73,52568091.00,3854292432.12,305,--
301030.SZ,仕净科技,21.67,-1.46,27.71,44389149.00,1092860848.38,159,--
601058.SH,赛轮轮胎,13.90,2.13,27.68,910107571.00,12741505994.00,992,--
603325.SH,博隆技术,59.93,0.42,27.48,4488564.00,308718918.38,154,--
605289.SH,罗曼股份,19.24,0.89,27.46,13897225.00,352989515.00,36,--
688019.SH,安集科技,106.38,2.49,27.37,35245762.00,4433916859.60,376,--
688798.SH,艾为电子,40.10,0.93,27.36,37013535.00,2095706351.70,244,--
688498.SH,源杰科技,90.04,4.23,27.33,16236007.00,2126368183.11,271,--
002653.SZ,海思科,34.47,5.16,27.19,134592958.00,4132003810.60,277,--
688639.SH,华恒生物,27.80,1.20,27.13,42689291.00,3261034939.49,251,--
688112.SH,鼎阳科技,21.00,-3.05,27.10,12454113.00,336136509.87,73,--
834058.BJ,华洋赛车,15.48,-0.07,27.05,3798813.00,63554141.49,9,--
002422.SZ,科伦药业,29.94,-0.37,27.05,353942606.00,10735079239.98,743,--
301257.SZ,普蕊斯,25.08,4.24,26.89,12648059.00,357307666.75,74,--
600285.SH,羚锐制药,19.81,5.54,26.78,150814889.00,3651228462.69,380,--
301031.SZ,中熔电气,71.67,-0.25,26.56,9676480.00,795406656.00,112,--
688270.SH,臻镭科技,19.43,-1.22,26.51,38243402.00,998152792.20,129,--
688608.SH,恒玄科技,145.12,2.20,26.51,31822937.00,4658241518.06,380,--
605266.SH,健之佳,17.65,-3.13,26.48,37267566.00,967093337.70,121,--
688390.SH,固德威,43.65,-4.23,26.42,63946018.00,3588650530.16,252,--
688378.SH,奥来德,13.53,0.07,26.30,52927999.00,1241690856.54,224,--
600941.SH,中国移动,100.71,0.46,26.24,199069486.00,21399969745.00,"1,213",--
300818.SZ,耐普矿机,22.33,1.18,26.18,24572178.00,626590539.00,102,--
688076.SH,诺泰生物,54.45,1.19,26.13,56164470.00,4396554711.60,371,--
002922.SZ,伊戈尔,19.26,0.47,26.11,96611222.00,2111921312.92,302,--
300014.SZ,亿纬锂能,32.48,-0.98,25.97,483351082.00,19295375193.44,758,--
002028.SZ,思源电气,69.22,4.48,25.96,156440814.00,10465890456.60,728,--
688627.SH,精智达,37.67,-0.63,25.85,5501955.00,255400751.10,157,--
000403.SZ,派林生物,21.83,0.51,25.79,175765844.00,4685917401.04,379,--
300628.SZ,亿联网络,34.98,-0.03,25.55,184761789.00,6793690981.53,629,--
603596.SH,伯特利,39.77,4.80,25.52,154463018.00,6008611400.20,499,--
688385.SH,复旦微电,24.25,-0.53,25.51,81223728.00,2548800584.64,198,--
603129.SH,春风动力,149.10,3.62,25.11,38027848.00,5412883884.32,377,--
600426.SH,华鲁恒升,20.24,1.40,25.03,529474819.00,14105209178.16,831,--
688293.SH,奥浦迈,27.30,5.57,24.91,19323040.00,604231460.80,94,--
600060.SH,海信视像,16.17,3.72,24.88,320730936.00,7934883356.64,441,--
002567.SZ,唐人神,4.52,-2.38,24.85,355721127.00,1906665240.72,191,--
