ts_code,ann_date,end_date,symbol,mkv,amount,stk_mkv_ratio,stk_float_ratio,name
011811.OF,20240718,20240630,600519.SH,17168463.0,11700.0,27.98,0.0,财通安华A
011812.OF,20240718,20240630,600519.SH,17168463.0,11700.0,27.98,0.0,财通安华C
121001.OF,20240718,20240630,600519.SH,22451067.0,15300.0,7.01,0.0,国投瑞银融华债券
012616.OF,20240718,20240630,600519.SH,142856286.06,97354.0,11.7,0.01,嘉实优化红利C
159661.SZ,20240718,20240630,600519.SH,1760868.0,1200.0,9.31,0.0,中证A100指数ETF
159717.SZ,20240718,20240630,600519.SH,3081519.0,2100.0,6.16,0.0,ESGETF
160716.SZ,20240718,20240630,600519.SH,34841708.16,23744.0,2.95,0.0,基本面50LOF
008166.OF,20240718,20240630,600519.SH,26413020.0,18000.0,10.42,0.0,工银消费行业A
008167.OF,20240718,20240630,600519.SH,26413020.0,18000.0,10.42,0.0,工银消费行业C
009076.OF,20240718,20240630,600519.SH,190760700.0,130000.0,7.49,0.01,工银圆兴
160725.OF,20240718,20240630,600519.SH,34841708.16,23744.0,2.95,0.0,嘉实基本面50指数(LOF)C
159919.SZ,20240718,20240630,600519.SH,5330223740.28,3632452.0,5.19,0.29,沪深300ETF
009029.OF,20240718,20240630,600519.SH,71168415.0,48500.0,7.99,0.0,工银高质量成长A
009030.OF,20240718,20240630,600519.SH,71168415.0,48500.0,7.99,0.0,工银高质量成长C
159673.SZ,20240718,20240630,600519.SH,132525860.46,90314.0,5.2,0.01,沪深300ETF鹏华
012237.OF,20240718,20240630,600519.SH,2201085.0,1500.0,4.85,0.0,工银新价值C
012844.OF,20240718,20240630,600519.SH,31868776.02,21718.0,5.48,0.0,工银恒兴6个月持有A
012845.OF,20240718,20240630,600519.SH,31868776.02,21718.0,5.48,0.0,工银恒兴6个月持有C
008958.OF,20240718,20240630,600519.SH,38119857.42,25978.0,10.11,0.0,嘉实回报精选
070011.OF,20240718,20240630,600519.SH,64924670.55,44245.0,3.54,0.0,嘉实策略增长
070032.OF,20240718,20240630,600519.SH,142856286.06,97354.0,11.7,0.01,嘉实优化红利A
011248.OF,20240718,20240630,600519.SH,257233467.0,175300.0,9.71,0.01,嘉实品质回报
162006.SZ,20240718,20240630,600519.SH,45929307.0,31300.0,3.71,0.0,长城久富LOF
163801.SZ,20240718,20240630,600519.SH,44850775.35,30565.0,9.87,0.0,中银中国LOF
012043.OF,20240718,20240630,600519.SH,429130868.55,292445.0,15.27,0.02,鹏华中证酒C
160632.SZ,20240718,20240630,600519.SH,429130868.55,292445.0,15.27,0.02,酒LOF
159520.SZ,20240718,20240630,600519.SH,6016299.0,4100.0,14.53,0.0,消费龙头ETF
014537.OF,20240718,20240630,600519.SH,44850775.35,30565.0,9.87,0.0,中银中国精选C
015383.OF,20240718,20240630,600519.SH,45929307.0,31300.0,3.71,0.0,长城久富C
001648.OF,20240718,20240630,600519.SH,2201085.0,1500.0,4.85,0.0,工银新价值A
110022.OF,20240718,20240630,600519.SH,1748938119.3,1191870.0,9.99,0.09,易方达消费行业
110009.OF,20240718,20240630,600519.SH,442074715.74,301266.0,10.34,0.02,易方达价值精选
070018.OF,20240718,20240630,600519.SH,41758984.62,28458.0,11.97,0.0,嘉实回报灵活配置
000082.OF,20240718,20240630,600519.SH,15589551.36,10624.0,2.61,0.0,嘉实研究阿尔法A
000414.OF,20240718,20240630,600519.SH,4989126.0,3400.0,4.63,0.0,嘉实绝对收益策略A
159791.SZ,20240718,20240630,600519.SH,1907607.0,1300.0,7.35,0.0,300ESGETF
159601.SZ,20240718,20240630,600519.SH,265066394.82,180638.0,6.48,0.01,A50ETF
009247.OF,20240718,20240630,600519.SH,7761025.71,5289.0,6.33,0.0,易方达磐恒九个月持有A
