ts_code,symbol,name,industry,market,list_date,circ_mv,turnover_rate_f
000001.SZ,000001,平安银行,银行,主板,1991-04-03,22238837.6871,1.3866
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,8813260.8296,2.992
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07,674192.1159,3.0603
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,2587150.3485,3.379
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,1069766.6862,1.5976
000021.SZ,000021,深科技,元器件,主板,1994-02-02,3152055.9003,18.01
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,3173179.074,1.99
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1383487.4454,3.9384
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1489072.2,5.2255
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,905332.0616,6.3647
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,1288929.6684,2.4269
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,1179917.7741,7.243
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1989889.2288,10.2631
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1181361.7199,2.3136
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1999922.8055,2.0984
000045.SZ,000045,深纺织A,元器件,主板,1994-08-15,515520.6457,18.9709
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,911482.7735,1.8265
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,959320.4217,3.0845
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,2219320.3347,8.5344
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,820514.0215,4.1462
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1887338.6367,3.7486
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,1113188.0519,1.2718
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,3269035.7456,26.3335
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,12202084.1393,2.536
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,928504.4521,3.457
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26,4984520.5508,34.5143
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10,1992543.2746,2.7933
000088.SZ,000088,盐田港,港口,主板,1997-07-28,1115571.1946,2.6089
000089.SZ,000089,深圳机场,机场,主板,1998-04-20,1464230.0757,3.1165
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21,822122.371,3.1736
000096.SZ,000096,广聚能源,石油贸易,主板,2000-07-24,632940.672,3.4803
000099.SZ,000099,中信海直,空运,主板,2000-07-31,1925461.48,29.2713
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30,9266241.7772,10.5423
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26,1513514.3575,2.4992
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06,1235809.7626,1.4004
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12,5097837.7554,2.0603
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24,5822531.5763,51.4955
000166.SZ,000166,申万宏源,证券,主板,2015-01-26,12417064.5311,2.4341
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29,4436089.3578,0.703
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18,50177310.9111,0.4922
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30,6703400.5619,1.9893
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18,3146967.6844,3.7039
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14,909813.1991,1.9921
000402.SZ,000402,金融街,全国地产,主板,1996-06-26,1033927.5461,5.5359
000403.SZ,000403,派林生物,生物制药,主板,1996-06-28,1555184.1681,1.7283
000404.SZ,000404,长虹华意,家用电器,主板,1996-06-19,513504.9765,3.9913
000408.SZ,000408,藏格矿业,农药化肥,主板,1996-06-28,4663815.2089,1.129
000415.SZ,000415,渤海租赁,多元金融,主板,1996-07-16,2173263.1415,1.6032
000422.SZ,000422,湖北宜化,农药化肥,主板,1996-08-15,1400163.876,4.4606
000423.SZ,000423,东阿阿胶,中成药,主板,1996-07-29,3699646.8539,4.8734
000425.SZ,000425,徐工机械,工程机械,主板,1996-08-28,6658475.6114,1.4316
000426.SZ,000426,兴业银锡,铅锌,主板,1996-08-28,2289106.2151,2.1261
000429.SZ,000429,粤高速A,路桥,主板,1998-02-20,1431056.2368,2.2089
000488.SZ,000488,晨鸣纸业,造纸,主板,2000-11-20,619283.2329,2.3158
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09,940347.553,3.9025
000501.SZ,000501,武商集团,百货,主板,1992-11-20,645366.8684,2.0293
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30,1282714.7338,6.5689
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28,2258218.9912,2.4272
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09,1197751.8103,1.2949
000517.SZ,000517,荣安地产,区域地产,主板,1993-08-06,600568.7263,5.5947
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08,2278226.4946,6.2338
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18,751816.8542,4.6163
000526.SZ,000526,学大教育,文教休闲,主板,1993-11-01,572479.0283,6.8123
