ts_code,symbol,name,industry,market,list_date,circ_mv,turnover_rate_f
000001.SZ,000001,平安银行,银行,主板,1991-04-03,22083592.7469,1.532
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,9017316.4827,5.41
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07,698366.3352,7.8607
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,2770853.3319,11.9818
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,1079563.0844,2.6856
000021.SZ,000021,深科技,元器件,主板,1994-02-02,3685720.8101,32.8876
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,3173179.074,4.5999
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1331857.6444,3.0558
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1608554.64,7.9246
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,895178.8049,6.8939
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,1328958.5401,3.1904
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,1263737.0696,15.3468
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1955618.9143,16.5032
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1191064.8962,3.8373
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1986114.3627,2.2745
000045.SZ,000045,深纺织A,元器件,主板,1994-08-15,629776.1079,46.0202
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,923517.2763,3.102
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,968548.3536,4.6765
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,2246355.2446,9.2552
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,858900.6424,4.7929
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1838753.6817,2.802
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,1111491.1189,1.4956
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,4024151.6702,48.2582
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,12194029.9583,3.7366
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,932127.8841,4.4059
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26,4993960.9306,24.6353
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10,2040805.5685,5.3999
000088.SZ,000088,盐田港,港口,主板,1997-07-28,1113322.0591,2.1505
000089.SZ,000089,深圳机场,机场,主板,1998-04-20,1425265.9701,1.4493
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21,825859.2908,4.4795
000096.SZ,000096,广聚能源,石油贸易,主板,2000-07-24,620680.32,3.3373
000099.SZ,000099,中信海直,空运,主板,2000-07-31,2046481.6214,40.6174
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30,9592008.0896,16.236
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26,1523889.7773,4.043
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06,1266407.5284,1.9025
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12,4914004.4938,2.5415
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24,5881280.8722,23.058
000166.SZ,000166,申万宏源,证券,主板,2015-01-26,12011425.3994,2.6152
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29,4348137.1525,1.9131
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18,49136450.8468,1.0624
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30,6633832.2833,2.2934
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18,3059243.8175,3.2644
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14,919097.0072,3.3877
000402.SZ,000402,金融街,全国地产,主板,1996-06-26,1066798.075,13.0395
