plate_name,PC10,PC20,PC60,10RPS,20RPS,60RPS
服装家纺,0.00561,0.02235,0.15356,12.03,16.54,23.31
航海装备Ⅱ,0.0024,0.07259,0.24544,11.28,46.62,43.61
煤炭开采,0.00104,0.02784,0.11597,10.53,19.55,13.53
农商行Ⅱ,0.00055,0.04272,0.12457,9.77,28.57,15.79
厨卫电器,-0.00323,0.05604,0.15386,9.02,37.59,25.56
股份制银行Ⅱ,-0.01008,0.0191,0.13905,8.27,15.04,18.8
国有大型银行Ⅱ,-0.01201,0.02725,0.05189,7.52,18.05,8.27
出版,-0.02104,0.02567,0.16699,6.77,17.29,30.83
贵金属,-0.03837,0.05912,0.0184,6.02,39.1,6.02
饰品,-0.04508,-0.04076,0.01036,5.26,6.77,5.26
渔业,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
林业Ⅱ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
农业综合Ⅱ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
其他家电Ⅱ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
其他银行Ⅱ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
本地生活服务Ⅱ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
社交Ⅱ,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
