ts_code,MA120,MA250,PC120,PC250
002452.SZ,7.26,6.95,0.12662,0.03428
002453.SZ,5.02,7.9,-0.49417,-0.69957
002454.SZ,5.93,6.6,-0.07292,-0.28129
002455.SZ,8.33,7.51,0.37328,0.01451
002456.SZ,8.51,8.36,-0.12088,0.52672
002457.SZ,8.13,8.38,0.0691,0.01069
002458.SZ,9.38,10.16,-0.22157,-0.33221
002459.SZ,13.61,17.81,-0.46904,-0.64661
002460.SZ,32.57,37.67,-0.30241,-0.46231
002461.SZ,8.11,8.14,0.156,-0.01365
002462.SZ,11.74,12.79,-0.07451,-0.18494
002463.SZ,33.19,27.14,0.06759,0.49442
002465.SZ,10.37,10.98,-0.23057,-0.11546
002466.SZ,36.74,45.67,-0.48942,-0.56425
002467.SZ,3.59,4.09,-0.28289,-0.26185
002468.SZ,8.72,8.79,0.11027,-0.1585
002469.SZ,5.61,5.71,-0.04669,-0.15808
002470.SZ,1.45,1.62,-0.02759,-0.36199
002471.SZ,2.34,2.64,-0.28044,-0.32056
002472.SZ,22.29,24.6,-0.15934,-0.33682
002474.SZ,4.81,5.79,-0.16667,-0.43182
002475.SZ,33.64,32.05,0.36976,0.2275
002476.SZ,4.03,4.7,-0.28119,-0.22436
002478.SZ,5.54,5.71,-0.2031,-0.32606
002479.SZ,3.88,4.23,-0.09024,-0.21308
002480.SZ,3.44,4.03,-0.19286,-0.34808
002481.SZ,4.3,4.37,-0.04028,-0.11765
002482.SZ,1.72,1.9,-0.17033,-0.33186
002483.SZ,4.64,4.93,-0.05543,-0.22243
002484.SZ,14.25,15.37,-0.27289,-0.26287
002486.SZ,1.85,2.36,-0.31602,-0.47508
002487.SZ,21.87,23.14,-0.11045,-0.22556
002488.SZ,5.16,6.13,0.26594,0.04198
002489.SZ,2.6,2.87,0.06061,-0.26121
002491.SZ,3.91,4.69,-0.33193,-0.46284
002492.SZ,4.64,5.21,-0.07895,-0.28328
002493.SZ,10.07,10.47,-0.16538,-0.25603
002494.SZ,3.44,4.24,-0.19284,-0.40927
002495.SZ,1.75,2.26,-0.32258,-0.45556
002496.SZ,2.45,2.19,0.32278,-0.06696
002497.SZ,9.82,11.67,-0.22109,-0.49429
002498.SZ,3.5,3.65,-0.1689,-0.19897
002500.SZ,4.96,5.27,-0.09143,-0.23802
002501.SZ,1.12,1.27,-0.13333,-0.35
002506.SZ,2.2,2.47,-0.31179,-0.3737
002507.SZ,13.08,14.06,-0.11462,-0.31921
002508.SZ,22.92,23.5,-0.25255,-0.31196
002510.SZ,3.87,4.09,-0.05627,-0.0315
002511.SZ,7.76,8.92,-0.27617,-0.375
002512.SZ,3.78,4.41,-0.28764,-0.24703
002513.SZ,3.88,5.13,-0.2243,-0.47468
002514.SZ,5.08,6.69,-0.36111,-0.47349
002515.SZ,4.29,4.76,-0.09979,-0.13573
002516.SZ,4.01,4.38,-0.11584,-0.17257
002517.SZ,10.37,11.07,-0.22487,-0.35415
002518.SZ,20.04,23.25,-0.33051,-0.47685
002519.SZ,5.02,5.28,-0.06458,-0.16543
002520.SZ,4.51,5.14,-0.31903,-0.32156
002521.SZ,11.19,9.34,0.21456,0.44091
002522.SZ,3.56,4.1,-0.2141,-0.39558
002523.SZ,2.61,2.73,-0.3,-0.21127
002524.SZ,3.8,5.1,-0.2713,-0.51274
002526.SZ,2.64,2.64,-0.13253,-0.18491
002527.SZ,6.92,8.77,-0.34468,-0.56802
002529.SZ,6.22,8.7,-0.41053,-0.59453
002530.SZ,7.29,7.86,-0.23096,-0.26634
002531.SZ,9.42,10.68,-0.32917,-0.47444
002532.SZ,7.32,6.67,0.16295,0.06772
002533.SZ,9.64,8.74,-0.08624,0.13108
002534.SZ,10.41,11.27,-0.03482,-0.28305
002535.SZ,3.54,4.07,-0.25404,-0.29783
002536.SZ,10.59,12.05,-0.32339,-0.33623
002537.SZ,5.3,5.87,-0.10545,-0.26895
002538.SZ,4.86,5.42,-0.03036,-0.26982
002539.SZ,7.56,7.88,-0.10263,-0.16238
002540.SZ,5.61,5.81,-0.04015,-0.09386
002541.SZ,16.51,19.92,-0.2939,-0.58803
002542.SZ,1.86,2.24,-0.33803,-0.48352
002543.SZ,10.08,9.26,-0.07945,0.12711
002544.SZ,20.62,20.35,0.0478,-0.23048
002545.SZ,6.95,7.0,-0.13286,-0.14747
002546.SZ,3.56,4.17,-0.25971,-0.39364
002547.SZ,3.17,3.93,-0.27918,-0.25708
002548.SZ,4.25,5.13,-0.10244,-0.42047
002549.SZ,6.05,8.0,-0.30337,-0.53296
002550.SZ,5.35,5.34,0.0746,0.04921
002551.SZ,2.7,3.31,-0.1223,-0.40777
002552.SZ,13.15,14.17,-0.18153,-0.42035
002553.SZ,10.11,11.21,-0.19784,-0.39484
002554.SZ,2.46,2.86,-0.1711,-0.4011
002555.SZ,15.01,18.15,-0.24481,-0.44049
002556.SZ,4.92,5.54,-0.12595,-0.38933
002557.SZ,31.12,32.85,-0.24745,-0.34053
002558.SZ,10.3,11.18,-0.17616,-0.29421
002559.SZ,8.54,9.04,-0.32195,-0.10091
002560.SZ,5.89,6.57,-0.16032,-0.3404
002561.SZ,7.93,8.69,-0.19885,-0.27396
002562.SZ,3.32,3.61,0.06908,-0.21875
002563.SZ,5.68,5.82,-0.15341,-0.2825
002565.SZ,2.7,2.97,-0.17065,-0.24534
002566.SZ,6.62,7.55,-0.10439,-0.29017
002567.SZ,5.84,6.23,-0.19135,-0.2546
002568.SZ,18.88,22.38,-0.11559,-0.51056
002570.SZ,2.78,3.4,-0.26462,-0.43765
002571.SZ,4.28,5.2,-0.11261,-0.35726
002572.SZ,15.92,16.48,-0.15962,-0.26246
002573.SZ,4.13,4.6,-0.24222,-0.39859
002574.SZ,4.86,5.4,-0.16769,-0.38427
002575.SZ,5.24,5.51,-0.33387,-0.27513
002576.SZ,12.56,14.62,-0.16212,-0.30839
002577.SZ,12.82,14.4,-0.04438,-0.07117
002578.SZ,2.9,3.27,-0.16502,-0.31622
002579.SZ,7.26,7.97,-0.15789,-0.2092
002580.SZ,6.58,7.41,-0.0727,-0.29058
002581.SZ,10.87,13.02,-0.22743,-0.49914
002582.SZ,5.83,6.77,-0.18258,-0.42521
002583.SZ,4.15,5.04,-0.18868,-0.32224
002584.SZ,6.63,7.22,-0.19703,0.0119
002585.SZ,5.59,6.98,-0.29412,-0.54085
002587.SZ,5.77,6.28,-0.16591,-0.13291
002588.SZ,6.82,6.4,0.16343,0.27032
002589.SZ,2.48,2.89,-0.10156,-0.33718
002590.SZ,13.59,12.72,-0.0695,0.0974
002591.SZ,4.25,5.32,-0.16563,-0.37616
002593.SZ,3.07,3.47,-0.16667,-0.28763
002594.SZ,230.5,222.27,0.24332,0.00188
002595.SZ,37.44,34.06,0.17974,0.2395
002596.SZ,1.72,2.22,-0.30233,-0.48454
002597.SZ,20.76,20.79,0.15795,-0.04495
002598.SZ,7.83,8.8,-0.13785,-0.30507
002599.SZ,5.51,6.08,-0.20137,-0.30253
002600.SZ,5.88,5.91,0.37794,0.31606
002601.SZ,19.01,18.28,-0.16605,-0.06168
002602.SZ,3.91,4.58,-0.32773,-0.39623
002603.SZ,17.87,20.38,-0.25842,-0.33635
002605.SZ,21.5,23.37,-0.19344,-0.33522
002606.SZ,7.34,7.49,0.13221,-0.01589
002607.SZ,2.23,3.17,-0.36877,-0.55607
002608.SZ,7.71,7.3,-0.06883,-0.00576
002609.SZ,8.0,9.31,-0.21339,-0.33237
002611.SZ,6.17,5.57,-0.40819,0.04492
002612.SZ,15.46,17.99,-0.26792,-0.40306
002613.SZ,3.75,4.08,-0.07796,-0.23438
002614.SZ,6.21,6.87,-0.2024,-0.33583
002615.SZ,6.81,6.89,0.06096,-0.01227
002616.SZ,4.45,4.83,-0.05882,-0.31973
002617.SZ,5.45,5.88,0.00362,-0.19214
002620.SZ,2.97,4.01,-0.34021,-0.5206
002622.SZ,1.72,2.42,-0.3578,-0.57187
002623.SZ,18.44,21.91,-0.31965,-0.42148
002624.SZ,9.02,10.73,-0.33152,-0.45293
002625.SZ,17.67,15.76,0.14028,0.15797
002626.SZ,14.42,15.47,0.01956,-0.22305
