ts_code,MA120,MA250,PC120,PC250
002803.SZ,13.03,16.26,-0.36886,-0.43421
002805.SZ,11.43,13.44,-0.0796,-0.3994
002806.SZ,8.99,10.27,0.20146,-0.12156
002807.SZ,3.81,3.74,-0.01075,-0.04663
002809.SZ,7.62,8.95,-0.13718,-0.3757
002810.SZ,13.29,15.7,-0.22,-0.29215
002811.SZ,6.83,7.74,0.11967,-0.23602
002812.SZ,36.38,47.18,-0.37474,-0.68357
002813.SZ,28.1,30.63,-0.16771,-0.23327
002815.SZ,8.55,9.18,-0.06977,-0.26131
002817.SZ,5.95,7.08,-0.1547,-0.36298
002818.SZ,12.8,13.05,-0.17661,-0.25872
002819.SZ,22.92,24.7,-0.27263,-0.17299
002820.SZ,8.11,9.33,-0.17916,-0.35688
002821.SZ,76.47,101.89,-0.34794,-0.4835
002823.SZ,11.82,11.46,0.37461,0.35487
002824.SZ,14.1,16.06,-0.03741,-0.23014
002825.SZ,6.67,7.25,-0.09941,-0.26066
002826.SZ,8.36,9.7,0.03069,-0.23165
002827.SZ,19.81,17.2,0.62198,1.23041
002828.SZ,8.9,9.58,-0.08565,-0.13961
002829.SZ,18.54,22.23,-0.02674,-0.36784
002830.SZ,10.44,12.02,-0.05648,-0.25747
002831.SZ,24.91,25.11,-0.11645,-0.01246
002832.SZ,26.49,29.48,-0.38254,-0.45258
002833.SZ,18.84,18.36,-0.18167,-0.09913
002835.SZ,16.16,16.24,-0.00852,-0.1313
002836.SZ,6.27,7.12,0.00329,-0.24815
002837.SZ,26.24,26.05,-0.2922,-0.24955
002838.SZ,10.06,11.35,-0.16535,-0.40717
002839.SZ,4.05,4.1,-0.05693,-0.16993
002840.SZ,18.13,17.66,-0.35524,-0.24083
002841.SZ,31.68,38.45,-0.19241,-0.42336
002842.SZ,5.75,6.94,-0.09605,-0.37559
002843.SZ,15.52,18.87,-0.34431,-0.21187
002845.SZ,13.15,14.82,-0.13478,-0.16034
002846.SZ,7.61,8.94,-0.07062,-0.39799
002847.SZ,54.9,64.42,-0.43622,-0.50136
002848.SZ,7.45,9.11,-0.15385,-0.26667
002849.SZ,12.28,14.69,-0.35535,-0.3711
002850.SZ,83.94,85.07,0.02947,-0.39228
002851.SZ,24.8,25.4,-0.09263,-0.25693
002852.SZ,7.71,9.17,-0.20403,-0.44366
002853.SZ,8.09,10.97,-0.20655,-0.59897
002855.SZ,22.3,26.95,-0.36858,0.97205
002856.SZ,7.96,9.72,-0.12073,-0.37383
002857.SZ,11.59,14.03,-0.22864,-0.49897
002858.SZ,11.19,13.83,-0.22901,-0.48278
002859.SZ,20.05,22.46,-0.24564,-0.37113
002860.SZ,8.93,10.63,-0.23992,-0.44695
002861.SZ,9.54,10.93,0.19956,-0.04431
002862.SZ,13.76,15.14,0.06672,-0.27167
002863.SZ,4.22,5.02,-0.17978,-0.3696
002864.SZ,27.74,32.27,-0.25231,-0.28174
002865.SZ,50.04,66.45,-0.47869,-0.58656
002866.SZ,13.47,16.57,-0.14172,-0.39916
002867.SZ,15.18,15.77,-0.47449,-0.31768
002868.SZ,15.31,19.51,-0.37584,-0.58166
002869.SZ,23.79,21.22,0.43985,0.39442
002870.SZ,31.05,31.95,-0.07719,-0.05149
002871.SZ,8.48,9.53,-0.04054,-0.33248
002873.SZ,10.05,10.97,-0.17623,-0.32014
002875.SZ,11.79,12.25,-0.42446,-0.12201
002876.SZ,23.35,26.83,-0.16478,-0.34431
002877.SZ,7.76,8.75,-0.27024,-0.34026
002878.SZ,12.68,14.55,-0.2798,-0.35732
002879.SZ,13.47,14.14,-0.04426,-0.13977
002880.SZ,28.47,31.06,-0.03609,-0.23584
002881.SZ,21.04,23.65,-0.07614,-0.16685
002882.SZ,16.3,15.64,-0.20387,0.02027
002883.SZ,9.24,10.42,-0.07363,-0.2874
002884.SZ,19.02,17.94,-0.10161,0.06433
002885.SZ,11.55,14.38,-0.21476,-0.3839
002886.SZ,14.92,16.58,-0.11073,-0.24007
002887.SZ,6.64,7.55,-0.09774,-0.41349
002888.SZ,14.31,15.9,-0.05764,0.19868
002889.SZ,18.85,21.34,-0.27641,-0.19268
002890.SZ,10.44,12.16,-0.28943,-0.41926
002891.SZ,22.1,23.15,-0.06042,-0.0949
002892.SZ,11.09,12.69,-0.4622,-0.28371
002893.SZ,9.61,10.24,-0.10556,-0.3325
002895.SZ,18.5,18.11,-0.02217,-0.00226
002896.SZ,30.18,32.62,-0.20267,-0.19017
002897.SZ,36.96,36.06,0.12578,0.06134
002898.SZ,9.66,11.33,-0.08745,-0.24123
002899.SZ,13.78,14.51,-0.03913,-0.25307
002900.SZ,9.59,11.15,-0.0958,-0.36024
002901.SZ,27.75,31.05,-0.20196,-0.20061
002902.SZ,22.92,23.42,-0.19183,-0.17463
002903.SZ,17.02,18.68,-0.17869,-0.18985
002905.SZ,6.95,8.65,-0.28375,-0.48656
002906.SZ,27.02,28.79,-0.04681,-0.19602
002907.SZ,13.39,14.71,-0.09064,-0.29006
002908.SZ,8.35,10.24,-0.26832,-0.44696
002909.SZ,4.71,6.06,-0.29098,-0.5013
002910.SZ,6.93,8.69,-0.19389,-0.45365
002911.SZ,10.87,11.41,-0.24364,-0.19656
002912.SZ,20.0,24.63,-0.46667,-0.57953
002913.SZ,26.18,27.83,-0.16507,-0.22453
002915.SZ,11.16,12.4,-0.20777,-0.26542
002916.SZ,99.4,82.47,0.22389,0.50781
002917.SZ,8.85,9.06,0.05677,-0.17854
002918.SZ,9.81,12.28,-0.32464,-0.58393
002919.SZ,16.2,22.72,-0.4653,-0.65518
002920.SZ,104.15,113.34,-0.12693,-0.34864
002921.SZ,10.8,12.97,-0.22417,-0.34712
002922.SZ,18.0,15.98,0.29527,0.33209
002923.SZ,9.97,11.09,-0.24506,-0.26094
002925.SZ,13.35,15.62,-0.32729,-0.37062
002926.SZ,6.96,7.5,-0.17707,-0.27982
002927.SZ,12.33,12.92,-0.07902,-0.18745
002928.SZ,6.19,6.63,0.08175,-0.3027
002929.SZ,31.92,35.4,-0.30763,-0.30344
002930.SZ,13.52,16.96,-0.30813,-0.51694
002931.SZ,11.34,12.36,-0.42817,-0.22445
002932.SZ,18.56,20.51,-0.12891,-0.29285
002933.SZ,25.7,27.73,-0.09983,-0.06422
002935.SZ,14.65,16.21,-0.23746,-0.3283
002936.SZ,1.86,1.98,-0.16425,-0.22072
002937.SZ,20.87,21.6,-0.2062,-0.23374
002938.SZ,30.58,25.39,0.56642,0.60393
002939.SZ,7.1,7.62,-0.13929,-0.25143
002940.SZ,15.04,17.14,-0.17322,-0.26757
002941.SZ,10.47,12.5,-0.14555,-0.40807
002942.SZ,12.8,14.88,-0.02994,-0.31564
002943.SZ,21.18,23.86,-0.40816,-0.43449
002945.SZ,10.83,12.48,-0.2498,-0.42066
002946.SZ,9.52,11.0,-0.16633,-0.41559
002947.SZ,32.29,29.26,0.12023,0.89399
002948.SZ,3.36,3.3,-0.00613,-0.03284
002949.SZ,10.18,11.99,-0.14159,-0.418
002950.SZ,7.31,8.37,-0.10405,-0.3303
002952.SZ,23.1,22.9,-0.39576,0.2736
002953.SZ,9.6,10.93,-0.28571,-0.33363
002955.SZ,23.58,25.28,-0.22961,0.09958
002956.SZ,13.36,13.56,-0.02533,-0.1977
002957.SZ,13.89,15.05,-0.04643,-0.11589
002958.SZ,2.7,2.7,-0.08727,-0.12544
002959.SZ,52.96,53.66,-0.26767,-0.38186
002960.SZ,13.13,14.11,-0.33096,-0.45221
002961.SZ,11.62,13.31,-0.11417,-0.34905
002962.SZ,14.91,14.67,-0.09405,0.12805
002963.SZ,10.61,12.46,-0.05695,-0.33447
002965.SZ,32.84,36.29,-0.22776,-0.2914
002966.SZ,7.32,7.0,-0.00564,0.02174
002967.SZ,13.44,13.73,0.08955,-0.14174
002968.SZ,9.34,10.99,-0.09685,-0.4006
002969.SZ,3.17,3.57,-0.15868,-0.2904
002970.SZ,32.26,30.72,0.17332,0.04237
002971.SZ,23.43,24.18,-0.3601,-0.34835
002972.SZ,9.38,10.3,0.04478,-0.16879
002973.SZ,9.46,10.15,-0.05134,-0.32
002975.SZ,30.36,31.94,-0.29532,-0.23032
002976.SZ,23.29,27.04,-0.17985,-0.34431
002977.SZ,28.61,30.49,-0.01521,-0.19612
002978.SZ,29.6,30.61,-0.14106,-0.18043
002979.SZ,19.02,18.65,0.17909,0.08391
002980.SZ,23.32,25.22,0.09453,-0.27608
002981.SZ,23.53,27.49,-0.33559,-0.17992
002982.SZ,16.5,19.62,0.07216,-0.52703
002983.SZ,19.69,23.43,-0.3624,-0.32884
002984.SZ,25.78,27.98,-0.27969,-0.30236
002985.SZ,24.07,29.13,-0.33407,-0.50997
002986.SZ,12.78,14.57,-0.12595,-0.35245
002987.SZ,12.48,15.38,-0.30368,-0.44842
002988.SZ,16.99,19.19,-0.24867,-0.20838
002989.SZ,16.52,15.63,0.03385,-0.01346
002990.SZ,21.26,25.64,-0.25447,-0.38102
002991.SZ,69.54,71.03,-0.3198,-0.28194
002992.SZ,51.4,57.91,-0.07357,-0.23529
002993.SZ,32.28,33.93,-0.18372,-0.25083
002995.SZ,15.2,19.08,-0.26603,-0.47064
002996.SZ,7.21,8.93,-0.38425,-0.53792
002997.SZ,29.41,31.7,0.02027,-0.23587
002998.SZ,6.06,6.85,-0.15842,-0.33852
002999.SZ,5.88,6.55,-0.1193,-0.42497
003000.SZ,12.94,12.4,-0.23276,-0.06643
003001.SZ,15.39,16.07,0.61626,0.12507
003002.SZ,11.62,13.15,-0.10649,-0.32707
003003.SZ,8.41,9.59,-0.14972,-0.30119
003004.SZ,23.99,25.39,-0.00629,-0.22918
003005.SZ,23.93,27.52,-0.39239,-0.42096
003006.SZ,21.09,18.08,0.43081,0.54149
003007.SZ,27.16,28.93,-0.34816,-0.16235
003008.SZ,18.89,22.46,-0.18209,-0.40022
003009.SZ,40.86,42.89,-0.13428,-0.2032
003010.SZ,13.8,16.75,-0.23312,-0.40713
003011.SZ,13.91,17.74,-0.18367,-0.52719
003012.SZ,6.64,7.87,-0.25348,-0.50645
003013.SZ,14.78,15.89,-0.173,-0.34476
003015.SZ,10.29,10.52,0.09273,0.41745
003016.SZ,6.53,7.52,-0.07317,-0.37449
003017.SZ,16.96,21.33,-0.08265,-0.51638
003018.SZ,7.88,8.88,-0.05392,-0.2652
003019.SZ,24.27,22.18,0.10854,0.20546
003020.SZ,19.94,23.25,-0.11051,-0.34441
003021.SZ,52.24,62.91,-0.46408,-0.40357
003022.SZ,15.28,16.89,-0.24792,-0.3883
003023.SZ,16.1,17.98,0.07095,-0.25994
003025.SZ,12.74,12.61,-0.08582,-0.08979
003026.SZ,28.34,31.44,0.14258,-0.16254
003027.SZ,14.1,16.33,-0.2697,-0.42123
003028.SZ,36.91,37.83,-0.16318,-0.08726
003029.SZ,19.6,20.05,-0.00985,-0.33237
003030.SZ,15.37,18.18,-0.19462,-0.45117
003031.SZ,54.35,71.39,-0.50013,-0.63313
003032.SZ,9.82,11.78,-0.3228,-0.36157
003033.SZ,24.35,28.14,-0.18053,-0.26995
003035.SZ,4.63,5.02,-0.2099,-0.33721
003036.SZ,8.53,10.43,-0.16216,-0.44395
003037.SZ,6.63,8.93,-0.3913,-0.61876
003038.SZ,21.2,27.57,-0.56543,-0.62521
003039.SZ,12.93,14.08,-0.14541,-0.37056
003040.SZ,12.0,14.6,-0.31277,-0.43779
003041.SZ,12.32,14.1,-0.08453,-0.32355
003042.SZ,13.44,15.84,-0.29553,-0.4246
003043.SZ,38.1,43.68,-0.08159,-0.21316
003816.SZ,4.41,3.81,0.17445,0.52229
300001.SZ,19.97,19.38,-0.10966,-0.04376
300002.SZ,8.89,9.22,-0.12887,-0.0945
300003.SZ,14.13,15.09,-0.32457,-0.47919
300004.SZ,4.51,5.12,-0.11482,-0.23878
300005.SZ,5.19,6.04,0.07739,-0.29183
300006.SZ,2.66,3.16,-0.04444,-0.25648
300007.SZ,14.24,15.71,-0.19731,-0.15769
300008.SZ,3.79,3.99,-0.05177,-0.26115
300009.SZ,9.2,9.56,-0.15668,-0.14316
300010.SZ,2.65,2.54,0.17411,0.08678
300011.SZ,5.63,6.29,-0.09524,-0.15616
300012.SZ,11.72,13.68,-0.15328,-0.47166
300014.SZ,38.45,40.59,-0.1455,-0.38584
300015.SZ,11.73,14.16,-0.31541,-0.47492
300016.SZ,4.75,5.73,0.0148,-0.2429
300017.SZ,8.38,7.93,-0.27526,0.10535
300018.SZ,4.83,5.33,-0.01811,-0.22045
300019.SZ,13.13,14.47,-0.20236,-0.32542
300021.SZ,3.63,4.17,-0.1867,-0.36779
300022.SZ,3.87,4.27,-0.13002,-0.24898
300024.SZ,10.34,10.99,-0.2198,-0.25481
300025.SZ,9.51,10.07,0.04762,-0.32969
300026.SZ,3.52,3.91,-0.15979,-0.26244
300027.SZ,1.93,2.3,-0.13063,-0.33904
300030.SZ,4.34,5.86,-0.18036,-0.43819
300031.SZ,14.54,16.18,-0.00539,-0.24398
300032.SZ,3.55,4.75,-0.24249,-0.47182
300033.SZ,113.26,130.14,-0.28751,-0.41777
300034.SZ,15.98,18.31,-0.13052,-0.42059
300035.SZ,8.93,9.58,-0.11652,-0.30701
300036.SZ,14.96,17.3,-0.19584,-0.38048
300037.SZ,32.45,38.59,-0.19155,-0.34012
300039.SZ,5.78,6.23,-0.13107,-0.18513
300040.SZ,5.32,5.33,0.16408,-0.07895
300041.SZ,8.13,9.04,-0.14037,-0.27637
300042.SZ,22.84,27.33,-0.48433,-0.43295
300043.SZ,2.56,3.02,-0.2,-0.33528
300044.SZ,4.78,5.03,-0.30236,-0.01196
300045.SZ,19.27,21.08,-0.26661,0.47349
300046.SZ,14.9,15.02,0.28594,0.02548
300047.SZ,7.05,7.84,-0.16808,-0.08021
300048.SZ,4.84,4.9,-0.0678,-0.15058
300049.SZ,49.56,43.23,-0.04865,1.02743
300050.SZ,3.32,3.97,0.32836,0.13232
300051.SZ,7.93,9.64,-0.33577,-0.52718
300052.SZ,13.08,15.32,-0.34994,-0.40232
300053.SZ,10.23,11.18,-0.11402,-0.12222
300054.SZ,21.74,21.79,-0.05111,-0.10808
300055.SZ,4.47,5.44,-0.20332,-0.48387
300056.SZ,9.03,8.27,-0.22529,-0.02035
300057.SZ,4.47,5.28,-0.09188,-0.38849
300058.SZ,5.97,6.76,-0.28165,-0.37961
300059.SZ,11.89,13.24,-0.23434,-0.32357
300061.SZ,4.58,5.23,0.34266,-0.07544
300062.SZ,4.91,5.41,0.0021,-0.21511
300063.SZ,4.37,4.93,-0.15951,0.02494
300065.SZ,6.86,8.36,-0.19174,-0.40607
300066.SZ,3.36,4.15,-0.20672,-0.38353
300067.SZ,4.2,3.61,-0.28667,0.05941
300068.SZ,9.61,11.51,-0.35611,-0.52846
300069.SZ,10.78,12.54,0.07024,-0.18317
300070.SZ,4.54,4.81,-0.31062,-0.38571
300071.SZ,2.44,2.97,-0.21661,-0.43045
300072.SZ,2.19,2.77,-0.24498,-0.4519
300073.SZ,36.88,38.28,-0.08871,-0.30852
300074.SZ,3.57,3.99,-0.15599,-0.27512
300075.SZ,14.66,16.16,-0.17992,-0.38814
300076.SZ,3.65,4.4,-0.15385,-0.27122
300077.SZ,9.52,10.39,-0.08159,-0.25624
300078.SZ,2.74,3.5,-0.27019,-0.48352
300079.SZ,4.39,4.97,-0.15886,-0.22948
300080.SZ,3.5,4.12,-0.36256,-0.45875
300081.SZ,5.53,7.31,-0.43529,-0.46667
300082.SZ,4.82,5.75,-0.0449,-0.36153
300083.SZ,5.96,6.06,0.14098,-0.00492
300084.SZ,5.55,6.25,-0.17036,-0.23787
300085.SZ,9.36,11.23,-0.2633,-0.40754
300086.SZ,4.17,5.06,-0.2314,-0.37584
300087.SZ,7.02,8.02,-0.23869,-0.41731
300088.SZ,4.83,5.5,0.00379,-0.09556
300091.SZ,1.64,2.17,-0.42742,-0.50865
300092.SZ,10.5,11.6,-0.19569,-0.32733
300093.SZ,14.95,17.07,-0.41821,-0.35848
300094.SZ,3.08,3.94,-0.2808,-0.50784
300095.SZ,6.03,7.03,-0.15878,-0.37172
300097.SZ,6.55,7.92,-0.2509,-0.11489
300098.SZ,3.83,3.88,0.06017,0.09467
300099.SZ,4.81,5.36,-0.05466,-0.23317
300100.SZ,10.75,9.9,0.3417,0.35301
300101.SZ,15.15,17.78,-0.19663,-0.37676
300102.SZ,6.42,6.71,-0.06573,-0.05087
300103.SZ,4.29,5.15,0.12644,-0.22591
300105.SZ,6.35,6.28,-0.0675,-0.15323
300106.SZ,6.56,7.77,0.15066,-0.10253
300107.SZ,9.12,6.91,0.65909,0.5996
300109.SZ,16.07,17.33,-0.4299,-0.44033
300110.SZ,3.35,3.73,-0.08333,-0.2025
300111.SZ,2.27,2.61,-0.10246,-0.25
300112.SZ,7.39,8.74,-0.18213,-0.28571
300113.SZ,10.91,12.4,-0.08934,-0.22362
300114.SZ,42.91,43.02,-0.01736,-0.12402
300115.SZ,10.94,10.86,0.17061,0.18031
300118.SZ,12.77,15.18,-0.39172,-0.51719
300119.SZ,14.5,15.58,-0.12509,-0.31257
300120.SZ,5.46,6.12,0.048,-0.23837
300121.SZ,8.05,8.5,-0.11646,-0.22531
300122.SZ,33.74,44.72,-0.55649,-0.50175
300123.SZ,5.02,6.05,-0.24174,-0.35312
300124.SZ,54.48,58.71,-0.34395,-0.33581
300126.SZ,4.8,5.72,-0.14535,-0.31839
300127.SZ,15.22,16.1,-0.09571,-0.24973
300128.SZ,3.49,3.99,-0.1829,-0.21995
300129.SZ,7.31,8.21,-0.15201,-0.17883
300130.SZ,18.77,20.93,-0.30352,-0.28806
300131.SZ,4.71,5.09,-0.00209,-0.07004
300132.SZ,3.78,4.4,0.00265,-0.27115
300133.SZ,6.7,6.26,-0.05545,-0.15397
300134.SZ,7.42,8.79,-0.17412,-0.20946
300135.SZ,2.78,3.08,0.05738,-0.08185
300136.SZ,18.87,19.87,-0.09451,0.06963
300137.SZ,4.76,5.21,-0.19959,-0.32358
300138.SZ,9.22,11.37,-0.34982,-0.52332
300139.SZ,12.29,11.04,0.41667,0.28367
300140.SZ,6.11,6.84,-0.33136,-0.52169
300141.SZ,7.81,8.58,-0.02414,-0.1873
300142.SZ,13.25,17.85,-0.38831,-0.58089
300143.SZ,7.82,8.83,-0.06304,-0.23666
300144.SZ,9.3,10.1,-0.29456,-0.37954
300145.SZ,2.77,2.85,-0.16786,-0.19655
300146.SZ,14.51,16.13,-0.3117,-0.41275
300147.SZ,4.49,4.77,0.816,0.31214
300148.SZ,2.68,3.31,-0.13399,-0.37647
300149.SZ,4.82,6.24,-0.10784,-0.41138
300150.SZ,2.92,3.7,-0.12121,-0.3287
300151.SZ,15.41,15.81,0.03824,-0.04246
300152.SZ,2.07,2.47,-0.40278,-0.43607
300153.SZ,6.02,6.77,-0.06446,-0.26302
300154.SZ,5.57,6.23,-0.14915,-0.29296
300155.SZ,3.76,4.55,-0.1623,-0.39962
300157.SZ,2.28,2.85,-0.30201,-0.38643
300158.SZ,4.38,5.23,-0.1785,-0.25551
300159.SZ,2.21,2.42,-0.00459,-0.30892
300160.SZ,4.94,5.34,-0.07128,-0.25546
300161.SZ,25.73,31.4,-0.40792,-0.53569
300162.SZ,6.31,6.66,0.06852,-0.13363
300164.SZ,3.91,4.35,-0.10742,-0.24295
300165.SZ,3.12,4.47,-0.4721,-0.59606
300166.SZ,6.85,8.34,-0.28263,-0.36073
300168.SZ,5.54,7.14,-0.2626,-0.4974
300169.SZ,5.29,6.4,-0.08938,-0.34783
300170.SZ,6.3,7.29,-0.03731,-0.30119
300171.SZ,13.18,15.55,-0.29741,-0.472
300172.SZ,5.04,5.48,-0.07173,-0.12871
300173.SZ,3.85,4.18,-0.20673,-0.2217
300174.SZ,14.43,14.9,-0.05584,-0.25594
300175.SZ,6.76,5.98,-0.16615,0.24594
300176.SZ,4.84,5.62,-0.03306,-0.27666
300177.SZ,6.16,6.51,0.21169,-0.10432
300179.SZ,7.28,7.96,-0.07756,-0.24746
300180.SZ,3.7,3.91,0.15916,0.03763
300181.SZ,14.49,12.35,0.35959,0.49237
300182.SZ,4.39,4.73,-0.19916,-0.24056
300183.SZ,11.77,13.1,0.03261,-0.14296
300184.SZ,5.1,5.34,0.35865,0.38793
300185.SZ,2.05,2.24,-0.22222,-0.28063
300187.SZ,5.01,5.21,-0.08297,-0.30921
300188.SZ,12.35,13.92,-0.31712,-0.37614
300189.SZ,2.28,2.8,-0.31293,-0.4245
300190.SZ,3.06,3.6,-0.13456,-0.39659
300191.SZ,13.62,14.71,0.03197,-0.30172
300192.SZ,10.51,10.08,0.11451,0.08662
300193.SZ,7.62,7.66,-0.01764,-0.10507
300194.SZ,3.93,4.07,0.10306,0.03665
300195.SZ,4.56,5.32,-0.1705,-0.29708
300196.SZ,10.3,11.04,0.03293,-0.31762
300197.SZ,1.57,1.91,-0.33333,-0.50192
300198.SZ,1.48,2.05,-0.31579,-0.54545
300199.SZ,11.16,12.28,-0.30153,-0.0528
300200.SZ,7.27,7.85,-0.03377,-0.17337
300201.SZ,3.85,4.18,-0.33113,-0.21907
300203.SZ,11.89,14.0,-0.16566,-0.32521
300204.SZ,6.43,8.07,-0.07895,-0.35118
300206.SZ,9.24,9.77,-0.06938,-0.31301
300207.SZ,15.13,14.97,0.16496,0.09965
300210.SZ,9.47,8.51,-0.42813,1.1691
300211.SZ,5.93,7.58,-0.08702,-0.28604
300212.SZ,19.52,25.11,-0.43079,-0.48875
300213.SZ,6.12,6.53,-0.08832,0.0446
300214.SZ,5.44,5.75,-0.14695,-0.2648
300215.SZ,4.96,4.91,0.10811,-0.10516
300217.SZ,4.17,4.76,-0.21552,-0.32342
300218.SZ,14.66,13.21,0.20332,0.5508
300219.SZ,5.99,6.82,-0.15431,-0.1594
300220.SZ,7.22,7.35,0.04839,-0.07503
300221.SZ,5.28,5.34,0.02921,-0.14711
300222.SZ,5.78,6.39,-0.12519,-0.20282
300223.SZ,58.1,62.63,-0.27416,-0.37124
300224.SZ,9.81,10.61,-0.22107,-0.2917
300225.SZ,5.46,7.29,-0.1041,-0.41077
300226.SZ,18.93,23.11,-0.31642,-0.46294
300227.SZ,5.76,6.59,-0.1463,-0.2563
300228.SZ,6.49,6.71,-0.23447,0.06151
300229.SZ,14.05,15.54,-0.26871,-0.42741
300230.SZ,3.57,3.73,-0.08708,-0.11202
300231.SZ,7.99,9.28,-0.22114,-0.27144
300232.SZ,5.45,6.25,-0.17857,-0.29561
300233.SZ,15.42,16.16,-0.26234,-0.39894
300234.SZ,4.12,4.62,-0.06931,-0.3438
300235.SZ,8.45,9.63,-0.14502,-0.24184
300236.SZ,32.22,33.62,-0.14772,-0.13734
300237.SZ,1.3,1.63,-0.14667,-0.41818
300238.SZ,9.73,11.42,-0.04895,-0.26259
300239.SZ,4.93,5.48,-0.08964,-0.26645
300240.SZ,5.66,6.11,0.07331,-0.10502
300241.SZ,3.95,4.46,0.03325,-0.13859
300242.SZ,2.27,2.97,-0.26103,-0.39091
300243.SZ,9.42,9.19,0.11274,-0.17838
300244.SZ,13.96,18.5,-0.43021,-0.537
300245.SZ,5.89,7.28,-0.11201,-0.48396
300246.SZ,6.55,8.49,-0.09249,-0.46187
300247.SZ,2.65,3.07,-0.12143,-0.2807
300248.SZ,6.91,8.0,-0.14776,-0.29089
300249.SZ,6.86,7.81,-0.12433,-0.29266
300250.SZ,12.4,14.66,-0.26781,-0.25557
300251.SZ,8.67,8.47,-0.25081,-0.18182
300252.SZ,7.07,8.0,-0.11855,-0.24221
300253.SZ,6.22,6.69,-0.20597,-0.25594
300254.SZ,8.73,8.84,0.05852,0.0753
300255.SZ,10.43,10.89,-0.15776,1.03018
300256.SZ,2.07,2.5,0.09565,-0.22222
300257.SZ,11.04,12.76,-0.43172,-0.3988
300258.SZ,8.87,10.86,-0.28741,-0.43519
300259.SZ,2.84,3.19,-0.19874,-0.30978
300260.SZ,22.39,26.56,-0.38161,-0.37912
300261.SZ,5.91,6.65,-0.08062,-0.35422
300263.SZ,5.85,6.41,-0.11277,-0.27112
300264.SZ,4.7,5.84,-0.30693,-0.30348
300265.SZ,6.89,7.72,-0.04373,-0.26209
300266.SZ,1.57,2.26,-0.315,-0.60857
300267.SZ,2.38,2.8,-0.10843,-0.30408
300269.SZ,3.36,3.93,-0.40816,-0.11585
300270.SZ,6.1,6.67,-0.18502,-0.21733
300271.SZ,5.4,6.79,-0.28363,-0.4983
300272.SZ,5.15,5.45,0.1291,-0.07527
300274.SZ,85.53,86.03,-0.17168,-0.24037
300275.SZ,9.85,10.74,0.16866,-0.07969
300276.SZ,3.71,3.79,-0.19861,-0.02801
300277.SZ,6.73,7.48,-0.10815,-0.19005
300278.SZ,3.13,3.43,-0.12428,-0.22506
300279.SZ,4.48,5.2,-0.09419,-0.12909
300280.SZ,23.1,31.02,-0.66651,-0.56103
300281.SZ,4.63,5.03,-0.09073,-0.15226
300283.SZ,4.84,5.39,-0.06211,-0.24626
300284.SZ,7.23,6.34,0.37605,0.03803
300285.SZ,18.19,21.17,-0.18763,-0.47327
300286.SZ,20.71,23.04,-0.2363,-0.42016
300287.SZ,2.43,3.18,-0.28664,-0.45658
300288.SZ,12.02,13.75,-0.19079,-0.3196
300289.SZ,4.26,5.05,-0.10022,-0.29739
300290.SZ,9.43,7.55,-0.02638,0.80638
300291.SZ,4.65,5.54,-0.28702,-0.36275
300292.SZ,3.46,3.54,0.07742,-0.04843
300293.SZ,14.68,14.86,-0.15325,0.42901
300294.SZ,31.92,31.33,0.19818,0.06406
300295.SZ,9.45,11.12,-0.00654,-0.30405
300296.SZ,4.68,5.3,-0.19885,-0.31536
300298.SZ,23.64,25.39,0.1537,0.05034
300299.SZ,4.12,5.05,-0.13559,-0.3615
300302.SZ,10.58,11.79,0.01207,-0.1874
300303.SZ,4.9,5.14,-0.04031,0.0
300304.SZ,6.39,6.17,-0.01557,0.07561
300305.SZ,6.18,7.89,-0.26778,-0.5364
300306.SZ,9.47,10.38,-0.00102,-0.11273
300307.SZ,5.69,6.09,0.00185,-0.20906
300308.SZ,149.0,129.01,-0.35031,-0.09527
300310.SZ,4.05,4.18,0.15113,0.13682
300311.SZ,4.09,5.0,-0.4249,-0.51741
300314.SZ,11.0,12.54,-0.14779,-0.40848
300315.SZ,4.68,4.87,-0.21121,-0.17578
300316.SZ,31.28,37.59,-0.35129,-0.57796
300317.SZ,3.93,4.38,-0.18159,-0.37008
300318.SZ,5.04,5.4,0.12277,-0.05273
300319.SZ,8.53,8.85,0.09068,0.11139
300320.SZ,7.53,7.3,0.16275,-0.06098
300321.SZ,18.1,17.7,0.03338,-0.16571
300322.SZ,9.24,9.75,0.04751,0.29332
300323.SZ,4.59,5.48,-0.14851,-0.33126
300324.SZ,2.4,2.84,-0.22677,-0.29492
300326.SZ,4.43,5.36,-0.18363,-0.36293
300327.SZ,19.9,21.58,-0.04924,-0.31978
300328.SZ,4.95,5.72,0.22519,0.05246
300329.SZ,4.32,5.58,-0.17585,-0.45134
300331.SZ,16.42,19.79,-0.10877,-0.1974
300332.SZ,5.76,7.14,-0.32263,-0.56595
300333.SZ,4.78,5.91,0.03579,-0.27133
300334.SZ,5.2,6.28,-0.10701,-0.37789
300335.SZ,4.18,4.76,-0.12357,-0.28143
300337.SZ,7.18,7.2,0.26377,0.4461
300339.SZ,21.59,23.18,-0.10515,0.02192
300340.SZ,7.54,9.5,-0.18594,-0.44016
300341.SZ,8.98,10.08,-0.10718,-0.16533
300342.SZ,13.86,13.79,-0.05166,0.23915
300343.SZ,5.24,5.93,-0.14902,-0.42056
300344.SZ,3.56,4.54,-0.23529,-0.39139
300345.SZ,6.84,7.4,-0.15364,-0.33438
300346.SZ,26.81,27.39,0.0217,-0.10521
