ts_code,symbol,name,industry,market,list_date,circ_mv
300395.SZ,300395,菲利华,玻璃,创业板,2014-09-10,1612020.3075
300396.SZ,300396,迪瑞医疗,医疗保健,创业板,2014-09-10,386310.9795
300397.SZ,300397,天和防务,通信设备,创业板,2014-09-10,312785.663
300398.SZ,300398,飞凯材料,化工原料,创业板,2014-10-09,584543.67
300400.SZ,300400,劲拓股份,专用机械,创业板,2014-10-10,318700.7796
300401.SZ,300401,花园生物,化学制药,创业板,2014-10-09,673076.3168
300402.SZ,300402,宝色股份,专用机械,创业板,2014-10-10,300137.9883
300406.SZ,300406,九强生物,医疗保健,创业板,2014-10-30,540509.6451
300408.SZ,300408,三环集团,元器件,创业板,2014-12-03,5689825.7957
300409.SZ,300409,道氏技术,电气设备,创业板,2014-12-03,463641.4987
300411.SZ,300411,金盾股份,专用机械,创业板,2014-12-31,309464.2778
300413.SZ,300413,芒果超媒,影视音像,创业板,2015-01-21,1938164.8203
300415.SZ,300415,伊之密,专用机械,创业板,2015-01-23,783545.2969
300416.SZ,300416,苏试试验,电器仪表,创业板,2015-01-22,536462.3375
300418.SZ,300418,昆仑万维,互联网,创业板,2015-01-21,3307795.715
300428.SZ,300428,立中集团,汽车配件,创业板,2015-03-19,770445.5027
300429.SZ,300429,强力新材,化工原料,创业板,2015-03-24,379499.2148
300432.SZ,300432,富临精工,汽车配件,创业板,2015-03-19,815708.0028
300433.SZ,300433,蓝思科技,元器件,创业板,2015-03-18,8026720.0232
300435.SZ,300435,中泰股份,供气供热,创业板,2015-03-26,363769.9178
300438.SZ,300438,鹏辉能源,电气设备,创业板,2015-04-24,1008394.0228
300441.SZ,300441,鲍斯股份,机床制造,创业板,2015-04-23,394984.3187
300442.SZ,300442,润泽科技,软件服务,创业板,2015-04-24,1255936.0426
300443.SZ,300443,金雷股份,电气设备,创业板,2015-04-22,386739.0537
300444.SZ,300444,双杰电气,电气设备,创业板,2015-04-23,333465.4028
300446.SZ,300446,航天智造,汽车配件,创业板,2015-04-23,385370.5478
300450.SZ,300450,先导智能,专用机械,创业板,2015-05-18,2232998.0856
300451.SZ,300451,创业慧康,软件服务,创业板,2015-05-14,505335.6379
300454.SZ,300454,深信服,软件服务,创业板,2018-05-16,1264441.219
300455.SZ,300455,航天智装,IT设备,创业板,2015-05-15,737675.9559
300456.SZ,300456,赛微电子,半导体,创业板,2015-05-14,894399.343
300457.SZ,300457,赢合科技,专用机械,创业板,2015-05-14,908837.7309
300458.SZ,300458,全志科技,半导体,创业板,2015-05-15,1092443.5937
300459.SZ,300459,汤姆猫,互联网,创业板,2015-05-15,1108779.4137
300460.SZ,300460,惠伦晶体,元器件,创业板,2015-05-15,310569.5016
300463.SZ,300463,迈克生物,医疗保健,创业板,2015-05-28,588331.2659
300465.SZ,300465,高伟达,软件服务,创业板,2015-05-28,345347.2247
300468.SZ,300468,四方精创,软件服务,创业板,2015-05-27,484427.7551
300469.SZ,300469,信息发展,软件服务,创业板,2015-06-11,354972.5522
300470.SZ,300470,中密控股,机械基件,创业板,2015-06-12,623167.7403
300471.SZ,300471,厚普股份,专用机械,创业板,2015-06-11,324398.5076
300474.SZ,300474,景嘉微,元器件,创业板,2016-03-31,1820236.0703
300475.SZ,300475,香农芯创,元器件,创业板,2015-06-10,1109406.7328
300476.SZ,300476,胜宏科技,元器件,创业板,2015-06-11,2414254.1968
300479.SZ,300479,神思电子,软件服务,创业板,2015-06-12,325905.5907
300481.SZ,300481,濮阳惠成,化工原料,创业板,2015-06-30,386253.267
300482.SZ,300482,万孚生物,医疗保健,创业板,2015-06-30,646203.8398
300487.SZ,300487,蓝晓科技,化工原料,创业板,2015-07-02,1264261.0646
300492.SZ,300492,华图山鼎,建筑工程,创业板,2015-12-23,932830.1608
300493.SZ,300493,润欣科技,元器件,创业板,2015-12-10,444881.8257
300494.SZ,300494,盛天网络,互联网,创业板,2015-12-31,365240.5489
300496.SZ,300496,中科创达,软件服务,创业板,2015-12-10,1266970.0468
300497.SZ,300497,富祥药业,化学制药,创业板,2015-12-22,359941.7202
300498.SZ,300498,温氏股份,农业综合,创业板,2015-11-02,9152561.3466
