ts_code,symbol,name,industry,market,list_date,circ_mv
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09,730409.0493
000501.SZ,000501,武商集团,百货,主板,1992-11-20,522439.8459
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30,638014.4767
000504.SZ,000504,南华生物,医疗保健,主板,1992-12-08,223992.1334
000505.SZ,000505,京粮控股,食品,主板,1992-12-21,323778.732
000507.SZ,000507,珠海港,港口,主板,1993-03-26,401540.3001
000509.SZ,000509,华塑控股,元器件,主板,1993-05-07,265061.8276
000510.SZ,000510,新金路,化工原料,主板,1993-05-07,170758.3481
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28,2172684.6702
000514.SZ,000514,渝开发,区域地产,主板,1993-07-12,265787.854
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09,940619.4567
000517.SZ,000517,荣安地产,区域地产,主板,1993-08-06,508365.2289
000518.SZ,000518,四环生物,生物制药,主板,1993-09-08,213113.8885
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08,1634864.2449
000520.SZ,000520,凤凰航运,水运,主板,1993-10-25,211525.4421
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18,763194.7577
000523.SZ,000523,红棉股份,食品,主板,1993-11-08,338207.4305
000524.SZ,000524,岭南控股,旅游服务,主板,1993-11-18,576178.6256
000526.SZ,000526,学大教育,文教休闲,主板,1993-11-01,627227.5424
000528.SZ,000528,柳工,工程机械,主板,1993-11-18,1358570.9727
000529.SZ,000529,广弘控股,食品,主板,1993-11-18,296909.7604
000530.SZ,000530,冰山冷热,机械基件,主板,1993-12-08,220206.7319
000531.SZ,000531,穗恒运A,火力发电,主板,1994-01-06,412114.6041
000532.SZ,000532,华金资本,多元金融,主板,1994-01-03,359009.4846
000533.SZ,000533,顺钠股份,电气设备,主板,1994-01-03,219853.6704
000534.SZ,000534,万泽股份,生物制药,主板,1994-01-10,456072.3535
000536.SZ,000536,华映科技,元器件,主板,1993-11-26,618930.4836
000537.SZ,000537,中绿电,新型电力,主板,1993-12-10,1558929.8426
000538.SZ,000538,云南白药,中成药,主板,1993-12-15,9843172.3947
000539.SZ,000539,粤电力A,火力发电,主板,1993-11-26,1105837.249
000541.SZ,000541,佛山照明,家用电器,主板,1993-11-23,554057.6234
000543.SZ,000543,皖能电力,火力发电,主板,1993-12-20,1867895.3847
000544.SZ,000544,中原环保,环境保护,主板,1993-12-08,684228.5106
000545.SZ,000545,金浦钛业,化工原料,主板,1993-12-15,205949.2471
000546.SZ,000546,金圆股份,环境保护,主板,1993-12-15,324193.1402
000547.SZ,000547,航天发展,通信设备,主板,1993-11-30,973658.9766
000548.SZ,000548,湖南投资,路桥,主板,1993-12-20,203169.8461
000550.SZ,000550,江铃汽车,汽车整车,主板,1993-12-01,1096031.1202
000551.SZ,000551,创元科技,专用机械,主板,1994-01-06,359236.7656
000552.SZ,000552,甘肃能化,煤炭开采,主板,1994-01-06,920266.1743
000553.SZ,000553,安道麦A,农药化肥,主板,1993-12-03,953555.5479
000554.SZ,000554,泰山石油,石油贸易,主板,1993-12-15,181326.5985
000555.SZ,000555,神州信息,软件服务,主板,1994-04-08,811861.9721
000557.SZ,000557,西部创业,铁路,主板,1994-06-17,590456.0602
000558.SZ,000558,莱茵体育,旅游景点,主板,1994-05-09,292531.406
000559.SZ,000559,万向钱潮,汽车配件,主板,1994-01-10,1509826.9066
000560.SZ,000560,我爱我家,房产服务,主板,1994-02-02,552541.7365
000561.SZ,000561,烽火电子,通信设备,主板,1994-05-09,373858.572
000563.SZ,000563,陕国投A,多元金融,主板,1994-01-10,1406341.8485
000564.SZ,000564,供销大集,百货,主板,1994-01-10,2489753.8612
000565.SZ,000565,渝三峡A,染料涂料,主板,1994-04-08,178639.9946
000566.SZ,000566,海南海药,化学制药,主板,1994-05-25,349772.9199
000567.SZ,000567,海德股份,多元金融,主板,1994-05-25,889168.3335
000568.SZ,000568,泸州老窖,白酒,主板,1994-05-09,16759149.7011
000570.SZ,000570,苏常柴A,农用机械,主板,1994-07-01,235057.9305
000571.SZ,000571,新大洲A,煤炭开采,主板,1994-05-25,236067.685
000572.SZ,000572,海马汽车,汽车整车,主板,1994-08-08,502499.4985
000573.SZ,000573,粤宏远A,电气设备,主板,1994-08-15,139885.225
000576.SZ,000576,甘化科工,电气设备,主板,1994-09-07,242957.3378
000581.SZ,000581,威孚高科,汽车配件,主板,1998-09-24,1319727.789
000582.SZ,000582,北部湾港,港口,主板,1995-11-02,1006367.2745
000586.SZ,000586,汇源通信,通信设备,主板,1995-12-20,138889.92
000589.SZ,000589,贵州轮胎,汽车配件,主板,1996-03-08,685488.1618
000590.SZ,000590,启迪药业,中成药,主板,1996-01-19,123518.1331
000591.SZ,000591,太阳能,新型电力,主板,1996-02-08,1504137.8596
000592.SZ,000592,平潭发展,林业,主板,1996-03-27,289004.4742
000593.SZ,000593,德龙汇能,供气供热,主板,1996-03-12,165260.7409
000595.SZ,000595,宝塔实业,机械基件,主板,1996-04-19,522370.822
