ts_code,symbol,name,industry,market,list_date,circ_mv
000001.SZ,000001,平安银行,银行,主板,1991-04-03,20123625.3765
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,6918458.3359
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,1987564.2224
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,989436.2207
000021.SZ,000021,深科技,元器件,主板,1994-02-02,2131538.792
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,2754528.7614
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1230510.2573
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1146674.76
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,771647.5142
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,1044753.5511
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,883326.4211
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1386183.4573
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1043660.3824
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1730658.17
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,695384.9633
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,837434.821
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,1604890.5632
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1607040.6245
000061.SZ,000061,农产品,农业综合,主板,1997-01-10,957070.2154
000062.SZ,000062,深圳华强,元器件,主板,1997-01-30,2989131.0875
000063.SZ,000063,中兴通讯,通信设备,主板,1997-11-18,10236863.9875
000065.SZ,000065,北方国际,建筑工程,主板,1998-06-05,793521.9939
000066.SZ,000066,中国长城,IT设备,主板,1997-06-26,2715682.5981
000069.SZ,000069,华侨城A,全国地产,主板,1997-09-10,1440974.2021
000088.SZ,000088,盐田港,港口,主板,1997-07-28,1009861.8274
000089.SZ,000089,深圳机场,机场,主板,1998-04-20,1259155.8354
000090.SZ,000090,天健集团,建筑工程,主板,1999-07-21,663303.2766
000099.SZ,000099,中信海直,空运,主板,2000-07-31,1203995.2526
000100.SZ,000100,TCL科技,元器件,主板,2004-01-30,6949681.3329
000155.SZ,000155,川能动力,新型电力,主板,2000-09-26,1248941.1536
000156.SZ,000156,华数传媒,影视音像,主板,2000-09-06,1033245.7876
000157.SZ,000157,中联重科,工程机械,主板,2000-10-12,4518055.9303
000158.SZ,000158,常山北明,软件服务,主板,2000-07-24,1743425.0534
000166.SZ,000166,申万宏源,证券,主板,2015-01-26,10186049.3068
000301.SZ,000301,东方盛虹,化纤,主板,2000-05-29,4199716.9984
000333.SZ,000333,美的集团,家用电器,主板,2013-09-18,46801776.8625
000338.SZ,000338,潍柴动力,汽车配件,主板,2007-04-30,6454942.4239
000400.SZ,000400,许继电气,电气设备,主板,1997-04-18,3089493.4268
000401.SZ,000401,冀东水泥,水泥,主板,1996-06-14,721041.7688
000402.SZ,000402,金融街,全国地产,主板,1996-06-26,714186.9466
000403.SZ,000403,派林生物,生物制药,主板,1996-06-28,1409579.8407
000408.SZ,000408,藏格矿业,农药化肥,主板,1996-06-28,3911535.9682
000415.SZ,000415,渤海租赁,多元金融,主板,1996-07-16,1283465.5774
000422.SZ,000422,湖北宜化,农药化肥,主板,1996-08-15,1198701.4478
000423.SZ,000423,东阿阿胶,中成药,主板,1996-07-29,3118135.7818
000425.SZ,000425,徐工机械,工程机械,主板,1996-08-28,5602863.676
000426.SZ,000426,兴业银锡,铅锌,主板,1996-08-28,1815209.3176
000429.SZ,000429,粤高速A,路桥,主板,1998-02-20,1436269.5564
000498.SZ,000498,山东路桥,建筑工程,主板,1997-06-09,752277.5837
000503.SZ,000503,国新健康,软件服务,主板,1992-11-30,729705.1799
000513.SZ,000513,丽珠集团,化学制药,主板,1993-10-28,2158619.292
000516.SZ,000516,国际医学,医疗保健,主板,1993-08-09,949472.3457
000519.SZ,000519,中兵红箭,专用机械,主板,1993-10-08,1714240.1068
000521.SZ,000521,长虹美菱,家用电器,主板,1993-10-18,831462.1787
000528.SZ,000528,柳工,工程机械,主板,1993-11-18,1597725.566
000536.SZ,000536,华映科技,元器件,主板,1993-11-26,784715.4345
000537.SZ,000537,中绿电,新型电力,主板,1993-12-10,1540304.6354
000538.SZ,000538,云南白药,中成药,主板,1993-12-15,9140720.5808
000539.SZ,000539,粤电力A,火力发电,主板,1993-11-26,1131376.2155
000543.SZ,000543,皖能电力,火力发电,主板,1993-12-20,1842959.8881
000544.SZ,000544,中原环保,环境保护,主板,1993-12-08,710544.9918
000547.SZ,000547,航天发展,通信设备,主板,1993-11-30,1016544.4454
000550.SZ,000550,江铃汽车,汽车整车,主板,1993-12-01,1148395.8994
000552.SZ,000552,甘肃能化,煤炭开采,主板,1994-01-06,927717.7223
000553.SZ,000553,安道麦A,农药化肥,主板,1993-12-03,997096.8971
000555.SZ,000555,神州信息,软件服务,主板,1994-04-08,927564.4568
000559.SZ,000559,万向钱潮,汽车配件,主板,1994-01-10,1651889.3945
000563.SZ,000563,陕国投A,多元金融,主板,1994-01-10,1544419.0481
000567.SZ,000567,海德股份,多元金融,主板,1994-05-25,976915.2086
