ts_code,symbol,name,industry,market,list_date,circ_mv
000628.SZ,000628,高新发展,建筑工程,主板,1996-11-18,863995.2264
000629.SZ,000629,钒钛股份,小金属,主板,1996-11-15,2464386.9436
000630.SZ,000630,铜陵有色,铜,主板,1996-11-20,3747421.2431
000636.SZ,000636,风华高科,元器件,主板,1996-11-29,1673041.1031
000650.SZ,000650,仁和药业,中成药,主板,1996-12-10,785517.6421
000651.SZ,000651,格力电器,家用电器,主板,1996-11-18,24621781.3766
000657.SZ,000657,中钨高新,小金属,主板,1996-12-05,1121194.7768
000661.SZ,000661,长春高新,生物制药,主板,1996-12-18,3978803.9233
000676.SZ,000676,智度股份,互联网,主板,1996-12-24,899814.915
000680.SZ,000680,山推股份,工程机械,主板,1997-01-22,1022853.2474
000681.SZ,000681,视觉中国,互联网,主板,1997-01-21,825425.0513
000682.SZ,000682,东方电子,电气设备,主板,1997-01-21,1484038.2853
000683.SZ,000683,远兴能源,化工原料,主板,1997-01-31,2012439.1691
000685.SZ,000685,中山公用,水务,主板,1997-01-23,1030756.8963
000686.SZ,000686,东北证券,证券,主板,1997-02-27,1743637.4217
000688.SZ,000688,国城矿业,铅锌,主板,1997-01-20,1238405.5514
000690.SZ,000690,宝新能源,火力发电,主板,1997-01-28,974162.9834
000703.SZ,000703,恒逸石化,化纤,主板,1997-03-28,2334294.8518
000708.SZ,000708,中信特钢,特种钢,主板,1997-03-26,6293804.2328
000709.SZ,000709,河钢股份,普钢,主板,1997-04-16,2087753.3044
000712.SZ,000712,锦龙股份,证券,主板,1997-04-15,1192342.4307
000719.SZ,000719,中原传媒,出版业,主板,1997-03-31,773891.1499
000723.SZ,000723,美锦能源,焦炭加工,主板,1997-05-15,2027871.3316
000725.SZ,000725,京东方A,元器件,主板,2001-01-12,15293872.8929
000727.SZ,000727,冠捷科技,元器件,主板,1997-05-20,982916.0347
000728.SZ,000728,国元证券,证券,主板,1997-06-16,3517204.9801
000729.SZ,000729,燕京啤酒,啤酒,主板,1997-07-16,2630067.787
000733.SZ,000733,振华科技,元器件,主板,1997-07-03,2198483.6971
000738.SZ,000738,航发控制,航空,主板,1997-06-26,2688236.098
000739.SZ,000739,普洛药业,化学制药,主板,1997-05-09,1844466.4531
000750.SZ,000750,国海证券,证券,主板,1997-07-09,2544533.5459
000758.SZ,000758,中色股份,铅锌,主板,1997-04-16,927547.0796
000762.SZ,000762,西藏矿业,小金属,主板,1997-07-08,1111909.3194
000766.SZ,000766,通化金马,化学制药,主板,1997-04-30,1496345.8979
000768.SZ,000768,中航西飞,航空,主板,1997-06-26,6952067.7733
000776.SZ,000776,广发证券,证券,主板,1997-06-11,8985484.4424
000778.SZ,000778,新兴铸管,钢加工,主板,1997-06-06,1371489.6916
000783.SZ,000783,长江证券,证券,主板,1997-07-31,3627727.8539
000786.SZ,000786,北新建材,其他建材,主板,1997-06-06,5101403.3125
000791.SZ,000791,甘肃能源,水力发电,主板,1997-10-14,977920.6436
000792.SZ,000792,盐湖股份,农药化肥,主板,1997-09-04,9355263.3175
000799.SZ,000799,酒鬼酒,白酒,主板,1997-07-18,1526841.277
