ts_code,MA120,MA250,PC120,PC250,250RPS_Rank,250RPS,120RPS_Rank,120RPS
603567.SH,11.34,11.83,0.04834,-0.16654,1346.0,72.25,578.0,88.09
603568.SH,19.78,18.52,0.01171,-0.01679,630.0,87.02,780.0,83.92
603569.SH,7.98,10.4,-0.35251,-0.58733,4654.0,3.98,4344.0,10.38
603577.SH,7.25,8.1,-0.13368,-0.23756,1925.0,60.3,2256.0,53.47
603578.SH,12.23,13.24,-0.10017,-0.30629,2638.0,45.58,1823.0,62.4
603579.SH,17.89,19.66,-0.33241,-0.46539,4080.0,15.83,4236.0,12.61
603580.SH,21.44,17.21,0.42369,0.28756,169.0,96.53,42.0,99.15
603583.SH,18.85,18.81,-0.07998,-0.1042,961.0,80.19,1597.0,67.07
603585.SH,10.94,12.52,-0.08987,-0.29343,2508.0,48.27,1707.0,64.8
603586.SH,12.82,14.18,-0.17191,-0.20394,1636.0,66.26,2796.0,42.32
603587.SH,12.0,13.03,-0.14919,-0.31404,2715.0,44.0,2459.0,49.28
603588.SH,5.95,6.71,-0.10714,-0.52261,4428.0,8.65,1917.0,60.46
603589.SH,39.8,43.85,-0.14181,-0.41072,3670.0,24.29,2355.0,51.42
603590.SH,27.26,31.69,-0.23789,-0.32809,2854.0,41.13,3502.0,27.75
603595.SH,19.82,26.49,-0.25586,-0.48094,4198.0,13.39,3663.0,24.43
603596.SH,45.23,57.92,-0.40708,-0.57201,4610.0,4.89,4561.0,5.9
603598.SH,14.22,14.3,-0.32117,0.16981,267.0,94.51,4164.0,14.09
603599.SH,13.12,14.88,-0.26565,-0.42733,3818.0,21.23,3738.0,22.88
603600.SH,10.76,10.48,-0.05954,-0.02612,664.0,86.32,1351.0,72.14
603601.SH,2.98,3.59,-0.07958,-0.4128,3694.0,23.79,1589.0,67.23
603602.SH,12.73,13.4,-0.05712,0.02061,535.0,88.98,1332.0,72.53
603605.SH,100.46,99.85,-0.02051,-0.13781,1155.0,76.19,1008.0,79.22
603606.SH,46.53,43.0,0.19596,0.17755,260.0,94.66,173.0,96.45
603607.SH,13.38,14.63,-0.03431,-0.12387,1075.0,77.84,1111.0,77.09
603609.SH,7.0,7.71,-0.03448,-0.2381,1930.0,60.19,1113.0,77.05
603610.SH,10.59,11.22,-0.20176,-0.33955,2981.0,38.51,3153.0,34.96
603611.SH,18.1,18.53,-0.18616,-0.3169,2734.0,43.6,2978.0,38.57
603612.SH,12.82,14.18,-0.08225,-0.38728,3453.0,28.77,1623.0,66.53
603613.SH,21.18,25.71,-0.08427,-0.43746,3885.0,19.85,1638.0,66.22
603615.SH,13.88,13.36,-0.24443,0.34801,134.0,97.26,3560.0,26.56
603616.SH,3.28,4.44,-0.26509,-0.52137,4419.0,8.83,3736.0,22.93
603617.SH,5.86,7.27,-0.20061,-0.4613,4053.0,16.38,3143.0,35.16
603618.SH,4.76,5.32,-0.13402,-0.26957,2262.0,53.34,2261.0,53.36
603619.SH,23.57,21.5,-0.07076,0.01526,550.0,88.67,1481.0,69.46
603626.SH,5.84,6.59,0.24749,0.16928,269.0,94.47,121.0,97.52
603628.SH,14.78,14.98,-0.27947,-0.08003,847.0,82.54,3861.0,20.35
603629.SH,20.95,23.93,-0.36445,-0.36147,3186.0,34.28,4407.0,9.08
603630.SH,11.29,13.07,-0.16045,-0.38344,3421.0,29.43,2630.0,45.75
603633.SH,7.66,8.32,-0.15259,-0.44662,3956.0,18.39,2515.0,48.12
603636.SH,8.65,10.45,-0.22419,-0.38069,3383.0,30.21,3372.0,30.44
603637.SH,6.44,7.38,-0.07895,-0.29835,2557.0,47.26,1574.0,67.54
603638.SH,15.29,15.83,-0.09697,-0.15148,1240.0,74.43,1790.0,63.08
