ts_code,symbol,name,industry,market,list_date,circ_mv
000001.SZ,000001,平安银行,银行,主板,1991-04-03,19036910.795
000002.SZ,000002,万科A,全国地产,主板,1991-01-29,6578365.5806
000004.SZ,000004,国华网安,软件服务,主板,1991-01-14,167584.2994
000006.SZ,000006,深振业A,区域地产,主板,1992-04-27,577794.6055
000007.SZ,000007,全新好,其他商业,主板,1992-04-13,167449.8398
000008.SZ,000008,神州高铁,运输设备,主板,1992-05-07,545262.9463
000009.SZ,000009,中国宝安,电气设备,主板,1991-06-25,1905918.452
000011.SZ,000011,深物业A,房产服务,主板,1992-03-30,419601.0078
000012.SZ,000012,南玻A,玻璃,主板,1992-02-28,973761.9836
000014.SZ,000014,沙河股份,全国地产,主板,1992-06-02,217599.5554
000016.SZ,000016,深康佳A,家用电器,主板,1992-03-27,415114.388
000017.SZ,000017,深中华A,服饰,主板,1992-03-31,161793.9713
000019.SZ,000019,深粮控股,农业综合,主板,1992-10-12,248481.195
000020.SZ,000020,深华发A,元器件,主板,1992-04-28,245297.9394
000021.SZ,000021,深科技,元器件,主板,1994-02-02,2047275.9115
000025.SZ,000025,特力A,综合类,主板,1993-06-21,549496.8697
000026.SZ,000026,飞亚达,服饰,主板,1993-06-03,323897.6662
000027.SZ,000027,深圳能源,火力发电,主板,1993-09-03,2654623.5731
000028.SZ,000028,国药一致,医药商业,主板,1993-08-09,1174577.9728
000029.SZ,000029,深深房A,区域地产,主板,1993-09-15,1048592.16
000030.SZ,000030,富奥股份,汽车配件,主板,1993-09-29,749648.7912
000031.SZ,000031,大悦城,全国地产,主板,1993-10-08,984710.2436
000032.SZ,000032,深桑达A,建筑工程,主板,1993-10-28,849798.7029
000034.SZ,000034,神州数码,软件服务,主板,1994-05-09,1329480.9569
000035.SZ,000035,中国天楹,环境保护,主板,1994-04-08,1014261.4984
000036.SZ,000036,华联控股,全国地产,主板,1994-06-17,472334.9964
000037.SZ,000037,深南电A,火力发电,主板,1994-07-01,244004.5123
000039.SZ,000039,中集集团,运输设备,主板,1994-04-08,1620190.6273
000042.SZ,000042,中洲控股,全国地产,主板,1994-09-21,252969.4085
000045.SZ,000045,深纺织A,元器件,主板,1994-08-15,363332.37
000048.SZ,000048,京基智农,区域地产,主板,1994-11-01,692245.5278
000049.SZ,000049,德赛电池,电气设备,主板,1995-03-20,796678.1217
000050.SZ,000050,深天马A,元器件,主板,1995-03-15,1540989.8669
000055.SZ,000055,方大集团,其他建材,主板,1996-04-15,225059.5249
000056.SZ,000056,皇庭国际,其他商业,主板,1996-07-08,159046.1942
000058.SZ,000058,深赛格,商品城,主板,1996-12-26,600674.0784
000059.SZ,000059,华锦股份,石油加工,主板,1997-01-30,607788.1641
000060.SZ,000060,中金岭南,铅锌,主板,1997-01-23,1528557.2452
